mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
83	83	1/2	1/2	3/4	2	1	V7(6)				B	I		V7(6)		V		7	6				Mm7	0	0	6, 10, 9, 4		6	6	0	4	0.0	0.0	0.9375	0.0
83	83	11/16	11/16	3/4	2	1	V7				B	I		V7		V		7					Mm7	0	0	6, 10, 7, 4		6	6	0	1	0.0	0.0	0.0625	0.0
84	84	0	0	3/4	2	1	#viio2/iii				B	I		#viio2/iii		#vii	o	2		iii			o7	0	0	5, 14, 11, 8		14	5	0	9	0.0	0.0	1.8125	0.0
84	84	1/2	1/2	3/4	2	1	I				B	I		I		I							M	0	0	5, 9, 6		5	5	0	5	0.0	0.0	1.25	0.0
85	85	0	0	3/4	2	1	V7(9)/V				B	I		V7(9)/V		V		7	9	V			Mm7	0	0	7, 11, 8, 5	9	7	7	0	7	0.0	0.0	1.5	0.0
85	85	1/2	1/2	3/4	2	1	V7(6)				B	I		V7(6)		V		7	6				Mm7	0	0	6, 10, 9, 4		6	6	0	4	0.0	0.0	0.9375	0.0
85	85	11/16	11/16	3/4	2	1	V7				B	I		V7		V		7					Mm7	0	0	6, 10, 7, 4		6	6	0	1	0.0	0.0	0.0625	0.0
86	86	0	0	3/4	2	1	#viio2/iii				B	I		#viio2/iii		#vii	o	2		iii			o7	0	0	5, 14, 11, 8		14	5	0	10	0.0	0.0	1.8125	0.0
86	86	1/2	1/2	3/4	2	1	I				B	I		I		I							M	0	0	5, 9, 6		5	5	0	6	0.0	0.0	1.5	0.0
87	87	0	0	3/4	2	1	V7(9)/V				B	I		V7(9)/V		V		7	9	V			Mm7	0	0	7, 11, 8, 5	9	7	7	0	17	0.0	0.0	4.75	0.0
89	89	0	0	3/4	2	1	V[V(64)				B	I	V	V(64)		V			64				M	0	0	6, 5, 9		6	6	0	4	0.0	0.0	1.5	0.0
89	89	1/4	1/4	3/4	2	1	V7(9)				B	I	V	V7(9)		V		7	9				Mm7	0	0	6, 10, 7, 4	8	6	6	6	8	0.42857142857142855	1.375	2.125	0.39285714285714285
91	91	0	0	3/4	2	1	V7				B	I	V	V7		V		7					Mm7	0	0	6, 10, 7, 4		6	6	1	6	0.14285714285714285	0.125	2.75	0.043478260869565216
91	91	3/8	3/8	3/4	2	1	v7				B	I	V	v7		v		7					mm7	0	0	6, 3, 7, 4		6	6	2	9	0.18181818181818182	0.25	3.0	0.07692307692307693
92	92	3/8	3/8	3/4	2	1	V7(9)				B	I	V	V7(9)		V		7	9				Mm7	0	0	6, 10, 7, 4	8	6	6	0	2	0.0	0.0	0.375	0.0
92	92	1/2	1/2	3/4	2	1	V7(94)				B	I	V	V7(94)		V		7	94				Mm7	0	0	6, 5, 7, 4	8	6	6	2	8	0.2	0.25	3.125	0.07407407407407407
93	93	3/8	3/8	3/4	2	1	V7(b94)				B	I	V	V7(b94)		V		7	b94				Mm7	0	0	6, 5, 7, 4	1	6	6	2	9	0.18181818181818182	0.25	3.0	0.07692307692307693
94	94	3/8	3/8	3/4	2	1	V7(4)				B	I	V	V7(4)		V		7	4				Mm7	0	0	6, 5, 7, 4		6	6	0	2	0.0	0.0	0.375	0.0
94	94	1/2	1/2	3/4	2	1	V7(6)				B	I	V	V7(6)		V		7	6				Mm7	0	0	6, 10, 9, 4		6	6	0	2	0.0	0.0	0.375	0.0
94	94	5/8	5/8	3/4	2	1	V7				B	I	V	V7		V		7					Mm7	0	0	6, 10, 7, 4		6	6	1	9	0.1	0.125	2.25	0.05263157894736842
96	96	0	0	3/4	2	1	V7(4)				B	I	V	V7(4)		V		7	4				Mm7	0	0	6, 5, 7, 4		6	6	1	4	0.2	0.125	1.625	0.07142857142857142
96	96	1/4	1/4	3/4	2	1	V7]				B	I	V	V7		V		7					Mm7	0	0	6, 10, 7, 4		6	6	0	1	0.0	0.0	0.25	0.0
96	96	1/2	1/2	3/4	2	1	I				B	I		I		I							M	0	0	5, 9, 6		5	5	0	5	0.0	0.0	1.25	0.0
97	97	0	0	3/4	2	1	vi65(2)				B	I		vi65(2)		vi		65	2				mm7	0	0	5, 9, 6, 10		8	5	0	6	0.0	0.0	2.25	0.0
97	97	1/4	1/4	3/4	2	1	vi65				B	I		vi65		vi		65					mm7	0	0	5, 9, 6, 8		8	5	0	1	0.0	0.0	0.25	0.0
97	97	1/2	1/2	3/4	2	1	vi65(2)				B	I		vi65(2)		vi		65	2				mm7	0	0	5, 9, 6, 10		8	5	0	5	0.0	0.0	1.25	0.0
98	98	0	0	3/4	2	1	vi65				B	I		vi65		vi		65					mm7	0	0	5, 9, 6, 8		8	5	1	17	0.05555555555555555	0.125	4.875	0.025
99	99	1/4	1/4	3/4	2	1	I}				B	I		I		I						}	M	0	0	5, 9, 6		5	5	1	29	0.03333333333333333	0.125	8.125	0.015151515151515152
