mc	mn	quarterbeats	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
19	18	52	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		1	55	G3	3	141
19	18	52	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		3	57	A3	3	141
19	18	52	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		-3	63	Eb4	4	141
19	18	52	0.75		1/4	1/4	3/4	1	1	3/16		1/8	3/2		2	86	D6	6	137
19	18	211/4	0.25		7/16	7/16	3/4	1	1	1/16		1/16	1		-3	87	Eb6	6	138
19	18	53	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		0	48	C3	3	142
19	18	53	1.0		1/2	1/2	3/4	1	1	1/4		1/4	1		0	84	C6	6	139
20	19	54	1.0		0	0	3/4	2	1	1/4		1/4	1		2	50	D3	3	147
20	19	54	0.5		0	0	3/4	1	1	1/8		1/8	1		2	86	D6	6	143
20	19	219/4	0.25		3/16	3/16	3/4	1	1	1/16		1/16	1		2	86	D6	6	144
20	19	55	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		3	57	A3	3	148
20	19	55	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		0	60	C4	4	148
20	19	55	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		6	66	F#4	4	148
20	19	55	1.5		1/4	1/4	3/4	1	1	3/8		1/4	3/2		3	81	A5	5	145
20	19	56	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		2	50	D3	3	149
20	19	113/2	0.5		5/8	5/8	3/4	1	1	1/8		1/8	1		2	86	D6	6	146
21	20	57	0.0		0	0	3/4	1	1	0	acciaccatura	1/8	1		0	84	C6	6	150
21	20	57	1.0		0	0	3/4	2	1	1/4		1/4	1		1	55	G3	3	157
21	20	57	0.5		0	0	3/4	1	1	1/8		1/8	1		-2	82	Bb5	5	151
21	20	231/4	0.25		3/16	3/16	3/4	1	1	1/16		1/16	1		3	81	A5	5	152
21	20	58	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		-2	58	Bb3	3	158
21	20	58	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		2	62	D4	4	158
21	20	58	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		1	67	G4	4	158
21	20	58	0.5		1/4	1/4	3/4	1	1	1/8		1/8	1		1	79	G5	5	153
21	20	117/2	0.5		3/8	3/8	3/4	1	1	1/8		1/8	1		-2	82	Bb5	5	154
21	20	59	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		1	55	G3	3	159
21	20	59	0.5		1/2	1/2	3/4	1	1	1/8		1/8	1		7	85	C#6	6	155
21	20	119/2	0.5		5/8	5/8	3/4	1	1	1/8		1/8	1		2	86	D6	6	156
22	21	60	1.0		0	0	3/4	2	1	1/4		1/4	1		1	43	G2	2	164
22	21	60	0.5		0	0	3/4	1	1	1/8		1/8	1		-2	94	Bb6	6	160
22	21	243/4	0.25		3/16	3/16	3/4	1	1	1/16		1/16	1		3	93	A6	6	161
22	21	61	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		2	50	D3	3	165
22	21	61	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		-2	58	Bb3	3	165
22	21	61	1.5		1/4	1/4	3/4	1	1	3/8		1/4	3/2		1	91	G6	6	162
22	21	62	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		1	43	G2	2	166
22	21	125/2	0.5		5/8	5/8	3/4	1	1	1/8		1/8	1		-1	89	F6	6	163
23	22	63	1.0		0	0	3/4	2	1	1/4		1/4	1		0	48	C3	3	172
23	22	63	0.75		0	0	3/4	1	1	3/16		1/8	3/2		-3	87	Eb6	6	167
23	22	255/4	0.25		3/16	3/16	3/4	1	1	1/16		1/16	1		-1	89	F6	6	168
23	22	64	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		1	55	G3	3	173
23	22	64	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		3	57	A3	3	173
23	22	64	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		-3	63	Eb4	4	173
23	22	64	0.75		1/4	1/4	3/4	1	1	3/16		1/8	3/2		2	86	D6	6	169
23	22	259/4	0.25		7/16	7/16	3/4	1	1	1/16		1/16	1		-3	87	Eb6	6	170
23	22	65	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		0	48	C3	3	174
23	22	65	1.0		1/2	1/2	3/4	1	1	1/4		1/4	1		0	84	C6	6	171
24	23	66	1.0		0	0	3/4	2	1	1/4		1/4	1		2	50	D3	3	179
24	23	66	0.5		0	0	3/4	1	1	1/8		1/8	1		2	86	D6	6	175
24	23	267/4	0.25		3/16	3/16	3/4	1	1	1/16		1/16	1		2	86	D6	6	176
24	23	67	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		3	57	A3	3	180
24	23	67	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		0	60	C4	4	180
24	23	67	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		6	66	F#4	4	180
24	23	67	1.0		1/4	1/4	3/4	1	1	1/4		1/4	1		3	81	A5	5	177
24	23	68	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		2	50	D3	3	181
24	23	68	1.0		1/2	1/2	3/4	1	1	1/4		1/4	1		2	86	D6	6	178
25	24	69	1.0		0	0	3/4	2	1	1/4		1/4	1		1	55	G3	3	186
25	24	69	1.5		0	0	3/4	1	1	3/8		1/4	3/2		1	79	G5	5	182
25	24	70	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		-2	58	Bb3	3	187
25	24	70	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		2	62	D4	4	187
25	24	70	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		1	67	G4	4	187
25	24	141/2	0.5		3/8	3/8	3/4	1	1	1/8		1/8	1		1	91	G6	6	183
25	24	71	0.5		1/2	1/2	3/4	1	1	1/8		1/8	1		1	91	G6	6	184
25	24	143/2	0.5		5/8	5/8	3/4	1	1	1/8		1/8	1		1	91	G6	6	185
26	25	72	1.0		0	0	3/4	2	1	1/4		1/4	1		3	45	A2	2	192
26	25	72	1.5		0	0	3/4	1	1	3/8		1/4	3/2		1	91	G6	6	188
26	25	73	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		-1	53	F3	3	193
26	25	73	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		3	57	A3	3	193
26	25	73	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		-3	63	Eb4	4	193
26	25	147/2	0.5		3/8	3/8	3/4	1	1	1/8		1/8	1		-1	89	F6	6	189
26	25	74	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		-1	53	F3	3	194
26	25	74	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		3	57	A3	3	194
26	25	74	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		-3	63	Eb4	4	194
26	25	74	0.5		1/2	1/2	3/4	1	1	1/8		1/8	1		4	88	E6	6	190
26	25	149/2	0.5		5/8	5/8	3/4	1	1	1/8		1/8	1		-3	87	Eb6	6	191
27	26	75	1.0		0	0	3/4	2	1	1/4		1/4	1		-2	46	Bb2	2	200
27	26	75	1.0		0	0	3/4	1	1	1/4		1/4	1		2	86	D6	6	195
27	26	76	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		-1	53	F3	3	201
27	26	76	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		-2	58	Bb3	3	201
27	26	76	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		2	62	D4	4	201
27	26	76	0.5		1/4	1/4	3/4	1	1	1/8		1/8	1		0	84	C6	6	196
27	26	153/2	0.5		3/8	3/8	3/4	1	1	1/8		1/8	1		-2	82	Bb5	5	197
27	26	77	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		-1	53	F3	3	202
27	26	77	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		-2	58	Bb3	3	202
27	26	77	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		2	62	D4	4	202
27	26	77	0.5		1/2	1/2	3/4	1	1	1/8		1/8	1		3	81	A5	5	198
27	26	155/2	0.5		5/8	5/8	3/4	1	1	1/8		1/8	1		1	79	G5	5	199
28	27	78	1.0		0	0	3/4	2	1	1/4		1/4	1		0	48	C3	3	209
28	27	78	0.5		0	0	3/4	1	1	1/8		1/8	1		-1	77	F5	5	203
28	27	315/4	0.25		3/16	3/16	3/4	1	1	1/16		1/16	1		1	79	G5	5	204
28	27	79	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		-1	53	F3	3	210
28	27	79	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		0	60	C4	4	210
28	27	79	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		-3	63	Eb4	4	210
28	27	79	0.5		1/4	1/4	3/4	1	1	1/8		1/8	1		3	81	A5	5	205
28	27	159/2	0.5		3/8	3/8	3/4	1	1	1/8		1/8	1		-2	82	Bb5	5	206
28	27	80	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		-1	53	F3	3	211
28	27	80	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		0	60	C4	4	211
28	27	80	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		-3	63	Eb4	4	211
28	27	80	0.5		1/2	1/2	3/4	1	1	1/8		1/8	1		0	84	C6	6	207
28	27	161/2	0.5		5/8	5/8	3/4	1	1	1/8		1/8	1		7	85	C#6	6	208
29	28	81	1.0		0	0	3/4	2	1	1/4		1/4	1		-2	46	Bb2	2	217
29	28	81	1.0		0	0	3/4	1	1	1/4		1/4	1		2	86	D6	6	212
29	28	82	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		-1	53	F3	3	218
29	28	82	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		-2	58	Bb3	3	218
29	28	82	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		2	62	D4	4	218
29	28	82	0.5		1/4	1/4	3/4	1	1	1/8		1/8	1		0	84	C6	6	213
29	28	165/2	0.5		3/8	3/8	3/4	1	1	1/8		1/8	1		-2	82	Bb5	5	214
29	28	83	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		-1	53	F3	3	219
29	28	83	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		-2	58	Bb3	3	219
29	28	83	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		2	62	D4	4	219
29	28	83	0.5		1/2	1/2	3/4	1	1	1/8		1/8	1		3	81	A5	5	215
29	28	167/2	0.5		5/8	5/8	3/4	1	1	1/8		1/8	1		1	79	G5	5	216
30	29	84	0.0		0	0	3/4	1	1	0	acciaccatura	1/8	1		-1	77	F5	5	220
30	29	84	1.0		0	0	3/4	2	1	1/4		1/4	1		3	45	A2	2	225
30	29	84	1.5		0	0	3/4	1	1	3/8		1/4	3/2		1	91	G6	6	221
30	29	85	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		-1	53	F3	3	226
30	29	85	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		3	57	A3	3	226
30	29	85	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		-3	63	Eb4	4	226
30	29	171/2	0.5		3/8	3/8	3/4	1	1	1/8		1/8	1		-1	89	F6	6	222
30	29	86	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		-1	53	F3	3	227
30	29	86	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		3	57	A3	3	227
