mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	crescendo_hairpin	decrescendo_hairpin	crescendo_line	pedal
62	60	177	177	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	463								
62	60	178	178	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	464								
62	60	179	179	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	465								
63	61	180	180	0.0		0	0	Spanner	3/4	1	1	0												
63	61	180	180	0.0		0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	466								
63	61	180	180	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	467		articStaccatissimoAbove						
63	61	723/4	723/4	0.0		3/16	3/16	Spanner	3/4	1	1	0										29		
63	61	723/4	723/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	468				73		29		
63	61	181	181	2.0		1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	469						29		
63	61	180	180	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	470								
63	61	181	181	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	471								
63	61	182	182	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	472								
64	62	183	183	0.0		0	0	Spanner	3/4	1	1	0												
64	62	183	183	0.0		0	0	Chord	3/4	1	1	0	grace16	1/16	1	473								
64	62	183	183	0.0		0	0	Chord	3/4	1	1	0	grace16	1/16	1	474								
64	62	183	183	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	475		articStaccatissimoAbove						
64	62	735/4	735/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	476				74				
64	62	184	184	2.0		1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	477				75				
64	62	183	183	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	478								
64	62	184	184	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	479								
64	62	185	185	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	480								
65	63	186	186	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	481								
65	63	747/4	747/4	0.0		3/16	3/16	Spanner	3/4	1	1	0									10			
65	63	747/4	747/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	482				76	10			
65	63	187	187	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	483				76	10			
65	63	375/2	375/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	484				76	10			
65	63	188	188	0.75		1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	485		ornamentShortTrill		76	10			
65	63	755/4	755/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	486					10			
65	63	186	186	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	487								
65	63	187	187	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	488								
65	63	188	188	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	489								
66	64		189	0.0	1	0	0	Dynamic	3/4	1	1	0					f							
66	64		189	0.0	1	0	0	Spanner	3/4	1	1	0												
66	64		189	0.5	1	0	0	Chord	3/4	1	1	1/8		1/8	1	490		articStaccatoBelow						
66	64		759/4	0.25	1	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	491				77				
66	64		190	1.0	1	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	492								
66	64		189	1.0	1	0	0	Chord	3/4	2	1	1/4		1/4	1	493								
66	64		190	1.0	1	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	494								
67	64	189	191	0.0	2	0	0	Dynamic	3/4	1	1	0					f							
67	64	189	191	0.5	2	0	0	Chord	3/4	1	1	1/8		1/8	1	495				78				
67	64	379/2	383/2	0.5	2	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	496								
67	64	190	192	0.0	2	1/4	1/4	Dynamic	3/4	1	1	0					fz							
67	64	190	192	2.0	2	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	497								
67	64	189	191	0.0	2	0	0	Spanner	3/4	2	1	0												21
67	64	189	191	1.0	2	0	0	Chord	3/4	2	1	1/4		1/4	1	498								21
67	64	190	192	2.0	2	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	499								21
67	64	192	194	0.0	2	3/4	3/4	Spanner	3/4	2	1	0												
