mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	crescendo_line	decrescendo_hairpin	crescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
67	66	197	197	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	492											50	50
67	66	198	198	0.0	1/2	1/2	Spanner	3/4	2	1	0															
67	66	198	198	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	493												
68	67	199	199	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	494							40					
68	67	200	200	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	495							40					
68	67	403/2	403/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	496							40					
68	67	200	200	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	497							41					
68	67	201	201	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	498							41					
68	67	199	199	0.0	0	0	Spanner	3/4	2	1	0														51	51
68	67	199	199	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	499											51	51
68	67	200	200	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	500											51	51
68	67	201	201	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	501											51	51
69	68	202	202	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	502							40					
69	68	405/2	405/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	503							40					
69	68	203	203	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	504							40					
69	68	204	204	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	505							40					
69	68	409/2	409/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	506							40					
69	68	202	202	0.5	0	0	Chord	3/4	1	2	1/8	1/8	1	507							41					
69	68	405/2	405/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8	1/8	1	508							41					
69	68	203	203	0.5	1/4	1/4	Chord	3/4	1	2	1/8	1/8	1	509							41					
69	68	407/2	407/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8	1/8	1	510							41					
69	68	204	204	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	511							41					
69	68	202	202	0.0	0	0	Spanner	3/4	2	1	0															
69	68	202	202	0.0	0	0	Spanner	3/4	2	1	0														52	52
69	68	202	202	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	512											52	52
69	68	203	203	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	513											52	52
69	68	204	204	0.0	1/2	1/2	Spanner	3/4	2	1	0															
69	68	204	204	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	514												
70	69	205	205	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	515												
70	69	206	206	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	516							42					
70	69	415/2	415/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	517							42					
70	69	205	205	0.5	0	0	Chord	3/4	1	2	1/8	1/8	1	518							41					
70	69	411/2	411/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8	1/8	1	519							41					
70	69	206	206	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	520												
70	69	207	207	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	521												
70	69	205	205	0.0	0	0	Spanner	3/4	2	1	0														53	53
70	69	205	205	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	522											53	53
70	69	206	206	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	523											53	53
70	69	207	207	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	524											53	53
71	70	208	208	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	525							42					
71	70	417/2	417/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	526							42					
71	70	209	209	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	527							42					
71	70	210	210	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	528							42					
71	70	421/2	421/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	529							42					
71	70	208	208	0.5	0	0	Chord	3/4	1	2	1/8	1/8	1	530							43					
71	70	417/2	417/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8	1/8	1	531							43					
71	70	209	209	0.5	1/4	1/4	Chord	3/4	1	2	1/8	1/8	1	532							43					
71	70	419/2	419/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8	1/8	1	533							43					
71	70	210	210	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	534							43					
71	70	208	208	0.0	0	0	Spanner	3/4	2	1	0															
71	70	208	208	0.0	0	0	Spanner	3/4	2	1	0														54	54
71	70	208	208	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	535											54	54
71	70	209	209	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	536											54	54
71	70	210	210	0.0	1/2	1/2	Spanner	3/4	2	1	0															
71	70	210	210	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	537												
72	71	211	211	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	538												
72	71	212	212	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	539							44					
72	71	427/2	427/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	540							44					
72	71	211	211	0.5	0	0	Chord	3/4	1	2	1/8	1/8	1	541							43					
72	71	423/2	423/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8	1/8	1	542							43					
72	71	212	212	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	543												
72	71	211	211	0.0	0	0	Spanner	3/4	2	1	0														55	55
72	71	211	211	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	544											55	55
72	71	212	212	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	545											55	55
72	71	213	213	0.0	1/2	1/2	Spanner	3/4	2	1	0															
72	71	213	213	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	546												
73	72	214	214	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	547							44					
73	72	429/2	429/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	548												
73	72	215	215	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	549							45					
73	72	431/2	431/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	550							45					
73	72	216	216	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	551												
73	72	215	215	2.0	1/4	1/4	Chord	3/4	1	2	1/2	1/2	1	552												
73	72	214	214	0.0	0	0	Spanner	3/4	2	1	0														56	56
73	72	214	214	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	553											56	56
73	72	215	215	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	554											56	56
74	73	217	217	0.0	0	0	Spanner	3/4	1	1	0													4		
74	73	218	218	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	555							46			4		
74	73	437/2	437/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	556							46			4		
74	73	219	219	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	557										4		
74	73	217	217	0.5	0	0	Chord	3/4	1	2	1/8	1/8	1	558							47			4		
74	73	435/2	435/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8	1/8	1	559							47			4		
74	73	218	218	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	560										4		
74	73	219	219	0.5	1/2	1/2	Chord	3/4	1	2	1/8	1/8	1	561							48			4		
74	73	439/2	439/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	562							48			4		
74	73	217	217	0.0	0	0	Spanner	3/4	2	1	0															
74	73	217	217	0.0	0	0	Spanner	3/4	2	1	0														57	57
74	73	217	217	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	563											57	57
74	73	218	218	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	564											57	57
74	73	219	219	0.0	1/2	1/2	Spanner	3/4	2	1	0															
74	73	219	219	0.0	1/2	1/2	Spanner	3/4	2	1	0														58	58
74	73	219	219	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	565											58	58
75	74	220	220	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	566										4		
75	74	221	221	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	567										4		
75	74	222	222	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	568		articStaccatoAbove								4		
75	74	445/2	445/2	0.0	5/8	5/8	Spanner	3/4	1	1	0															
75	74	220	220	0.5	0	0	Chord	3/4	1	2	1/8	1/8	1	569							49					
75	74	441/2	441/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8	1/8	1	570							49					
75	74	221	221	0.5	1/4	1/4	Chord	3/4	1	2	1/8	1/8	1	571							50					
75	74	443/2	443/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8	1/8	1	572							50					
75	74	220	220	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	573											58	58
75	74	221	221	0.0	1/4	1/4	Spanner	3/4	2	1	0															
75	74	221	221	0.0	1/4	1/4	Spanner	3/4	2	1	0														59	59
76	75	223	223	0.0	0	0	Dynamic	3/4	1	1	0				f											
76	75	223	223	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	574							51					
76	75	447/2	447/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	575							51					
76	75	224	224	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	576		ornamentTremblement					51					
76	75	449/2	449/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	577							51					
76	75	225	225	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	578							51					
76	75	451/2	451/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	579							51					
76	75	223	223	0.0	0	0	Spanner	3/4	2	1	0															
76	75	223	223	0.0	0	0	Spanner	3/4	2	1	0														60	60
76	75	223	223	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	580		articStaccatoAbove									60	60
76	75	224	224	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	581											60	60
76	75	225	225	0.0	1/2	1/2	Spanner	3/4	2	1	0															
76	75	225	225	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	582												
77	76	226	226	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	583							51					
77	76	907/4	907/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	584							51					
77	76	227	227	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	585												
77	76	226	226	0.0	0	0	Spanner	3/4	2	1	0														61	61
77	76	226	226	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	586											61	61
77	76	227	227	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	587		articStaccatoAbove									61	61
77	76	229	229	0.0	3/4	3/4	Spanner	3/4	2	1	0															
