mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	diminuendo_line	decrescendo_hairpin	crescendo_hairpin
54	54	319/2	319/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	483					31			0		
54	54	160	160	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	484					31			0		
54	54	321/2	321/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	485					31			0		
54	54	161	161	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	486					31			0		
54	54	323/2	323/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	487					31			0		
55	55	162	162	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	488					31			0		
55	55	325/2	325/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	489					31			0		
55	55	163	163	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	490					31			0		
55	55	327/2	327/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	491					31			0		
55	55	164	164	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	492					31			0		
55	55	329/2	329/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	493					31			0		
56	56	165	165	0.0	0	0	Dynamic	3/4	1	1	0					pp				31					
56	56	165	165	0.0	0	0	Spanner	3/4	1	1	0									31					
56	56	165	165	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	494					31					
56	56	331/2	331/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	495					31					
56	56	166	166	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	496					31					
56	56	333/2	333/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	497					31					
56	56	167	167	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	498					31					
56	56	335/2	335/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	499					31					
56	56	165	165	0.0	0	0	Spanner	3/4	2	1	0														
57	57	168	168	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	500										
57	57	168	168	0.0	0	0	Spanner	3/4	2	1	0										33	33			
57	57	171	171	0.0	3/4	3/4	Spanner	3/4	2	1	0														
