mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	crescendo_hairpin	diminuendo_line	decrescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
60	60	178	178	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	514							24					
60	60	357/2	357/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	515							24					
60	60	179	179	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	516												
60	60	177	177	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	517												
61	61	180	180	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	518												
61	61	181	181	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	519												
61	61	182	182	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	520												
61	61	731/4	731/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	521												
61	61	180	180	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	522							25					
61	61	181	181	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	523							25					
61	61	182	182	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	524							25					
61	61	180	180	0.0	0	0	Spanner	3/4	2	1	0															27	27
61	61	180	180	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	525											27	27
61	61	181	181	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	526											27	27
61	61	182	182	0.0	1/2	1/2	Spanner	3/4	2	1	0																
61	61	182	182	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	527												
62	62	183	183	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	528												
62	62	183	183	0.5	0	0	Chord	3/4	1	2	1/8		1/8	1	529							25					
62	62	367/2	367/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	530							25					
62	62	184	184	0.0	1/4	1/4	Chord	3/4	1	2	0	acciaccatura	1/8	1	531							25					
62	62	184	184	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	532							25					
62	62	369/2	369/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	533							25					
62	62	185	185	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	534												
62	62	183	183	1.0	0	0	Chord	3/4	1	3	1/4		1/4	1	535												
62	62	184	184	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	536												
62	62	369/2	369/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	537												
62	62	185	185	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	538												
62	62	183	183	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	539												
63	63	186	186	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	540							26					
63	63	373/2	373/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	541							26					
63	63	187	187	0.0	1/4	1/4	Spanner	3/4	1	1	0											26		0			
63	63	187	187	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	542							26		0			
63	63	188	188	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	543							26		0			
63	63	755/4	755/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	544							26		0			
63	63	186	186	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	545							27					
63	63	373/2	373/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	546							27					
63	63	187	187	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	547							27					
63	63	188	188	0.75	1/2	1/2	Chord	3/4	2	1	3/16		1/8	3/2	548							27					
63	63	755/4	755/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	549							27					
64	64	189	189	0.0	0	0	Spanner	3/4	1	1	0											26					
64	64	189	189	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	550							26					
64	64	191	191	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	551							26					
64	64	767/4	767/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	552							26					
64	64	190	190	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	553												
64	64	191	191	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	554												
64	64	190	190	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	555												
64	64	191	191	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	556												
64	64	189	189	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	557												
64	64	191	191	0.75	1/2	1/2	Chord	3/4	2	2	3/16		1/8	3/2	558												
64	64	767/4	767/4	0.25	11/16	11/16	Chord	3/4	2	2	1/16		1/16	1	559												
64	64	190	190	1.0	1/4	1/4	Chord	3/4	2	3	1/4		1/4	1	560												
65	65	192	192	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	561							26					
65	65	194	194	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	562							26					
65	65	779/4	779/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	563							26					
65	65	193	193	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	564												
65	65	194	194	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	565												
65	65	193	193	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	566												
65	65	194	194	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	567												
65	65	192	192	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	568												
65	65	194	194	0.75	1/2	1/2	Chord	3/4	2	2	3/16		1/8	3/2	569												
65	65	779/4	779/4	0.25	11/16	11/16	Chord	3/4	2	2	1/16		1/16	1	570												
66	66	195	195	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	571							26					
66	66	197	197	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	572							26					
66	66	196	196	1.0	1/4	1/4	Chord	3/4	1	3	1/4		1/4	1	573												
66	66	196	196	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	574												
66	66	195	195	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	575												
66	66	197	197	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	576												
67	67	198	198	0.0	0	0	StaffText	3/4	1	1	0							rallent.				26					
67	67	198	198	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	577							26					
67	67	397/2	397/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	578							26					
67	67	199	199	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	579							26					
67	67	200	200	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	580							26					
67	67	803/4	803/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	581							26					
67	67	198	198	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	582												
67	67	397/2	397/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	583												
67	67	199	199	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	584												
67	67	200	200	0.75	1/2	1/2	Chord	3/4	2	1	3/16		1/8	3/2	585												
67	67	803/4	803/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	586												
68	68	201	201	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	587												
68	68	202	202	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	588												
68	68	202	202	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	589												
68	68	201	201	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	590												
