mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	crescendo_line	decrescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>	Trill:trill	Ottava:8va
69	108	202	202	0.0	0	0	Spanner	3/4	2	1	0														20	20		
69	108	202	202	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	534										20	20		
69	108	203	203	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	535										20	20		
69	108	204	204	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	536										20	20		
70	109	205	205	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	537							30						
70	109	411/2	411/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	538							30						
70	109	206	206	0.0	1/4	1/4	Spanner	3/4	1	1	0											30						2
70	109	206	206	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	539							30						2
70	109	206	206	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	540							30						2
70	109	207	207	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	541							30						2
70	109	415/2	415/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	542							30						2
70	109	205	205	0.0	0	0	Spanner	3/4	2	1	0																	
70	109	205	205	0.0	0	0	Spanner	3/4	2	1	0														21	21		
70	109	205	205	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	543										21	21		
70	109	206	206	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	544										21	21		
71	110	208	208	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	545							30						2
71	110	417/2	417/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	546							30						2
71	110	209	209	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	547							30						2
71	110	210	210	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	548							30						2
71	110	421/2	421/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	549							30						2
71	110	208	208	0.0	0	0	Spanner	3/4	2	1	0																	
71	110	208	208	0.0	0	0	Spanner	3/4	2	1	0														22	22		
71	110	208	208	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	550										22	22		
71	110	209	209	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	551										22	22		
71	110	210	210	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	552										22	22		
72	111	211	211	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	553							30						2
72	111	423/2	423/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	554							30						2
72	111	212	212	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	555							30						2
72	111	212	212	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	556							30						2
72	111	213	213	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	557							30						2
72	111	427/2	427/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	558							30						2
72	111	211	211	0.0	0	0	Spanner	3/4	2	1	0																	
72	111	211	211	0.0	0	0	Spanner	3/4	2	1	0														23	23		
72	111	211	211	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	559										23	23		
72	111	212	212	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	560										23	23		
72	111	213	213	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	561										23	23		
73	112	214	214	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	562							30						2
73	112	429/2	429/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	563							30						2
73	112	215	215	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	564							30						2
73	112	216	216	0.0	1/2	1/2	Spanner	3/4	1	1	0											30						
73	112	216	216	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	565							30						
73	112	433/2	433/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	566							30						
73	112	214	214	0.0	0	0	Spanner	3/4	2	1	0																	
73	112	214	214	0.0	0	0	Spanner	3/4	2	1	0														24	24		
73	112	214	214	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	567										24	24		
73	112	215	215	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	568										24	24		
73	112	216	216	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	569										24	24		
74	113	217	217	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	570							30						
74	113	435/2	435/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	571							30						
74	113	218	218	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	572							30						
74	113	218	218	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	573							30						
74	113	219	219	0.0	1/2	1/2	StaffText	3/4	1	1	0							legato				30						
74	113	219	219	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	574							30						
74	113	439/2	439/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	575							30						
74	113	217	217	0.0	0	0	Spanner	3/4	2	1	0																	
74	113	217	217	0.0	0	0	Spanner	3/4	2	1	0														25	25		
74	113	217	217	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	576										25	25		
74	113	218	218	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	577										25	25		
74	113	219	219	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	578							31			25	25		
74	113	439/2	439/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	579							31			25	25		
75	114	220	220	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	580							30						
75	114	441/2	441/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	581							30						
75	114	221	221	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	582							30						
75	114	222	222	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	583							30						
75	114	445/2	445/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	584							30						
75	114	220	220	0.0	0	0	Spanner	3/4	2	1	0											31						
75	114	220	220	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	585							31						
75	114	441/2	441/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	586							31						
75	114	221	221	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	587							31						
75	114	222	222	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	588							31						
75	114	445/2	445/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	589							31						
76	115	223	223	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	590							30						
76	115	447/2	447/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	591							30						
76	115	224	224	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	592							30						
76	115	225	225	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	593							30						
76	115	451/2	451/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	594							30						
76	115	223	223	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	595							31						
76	115	447/2	447/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	596							31						
76	115	224	224	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	597							31						
76	115	225	225	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	598							31						
76	115	451/2	451/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	599							31						
77	116	226	226	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	600							30						
77	116	453/2	453/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	601							30						
77	116	227	227	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	602							30						
77	116	228	228	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	603							30						
77	116	457/2	457/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	604							30						
77	116	226	226	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	605							31						
77	116	453/2	453/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	606							31						
77	116	227	227	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	607							31						
77	116	228	228	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	608							31						
77	116	457/2	457/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	609							31						
78	193	229	229	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	610							32						
78	193	229	229	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	611													
78	193	230	230	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	612							33						
78	193	461/2	461/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	613							33						
78	193	231	231	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	614							33						
78	193	463/2	463/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	615							33						
79	194	232	232	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	616							32						
79	194	232	232	0.3333333333333333	0	0	Chord	3/4	2	1	1/12		1/8	2/3	617							33						
79	194	697/3	697/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12		1/8	2/3	618							33						
79	194	698/3	698/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12		1/8	2/3	619							33						
79	194	233	233	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	620							33						
79	194	467/2	467/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	621							33						
79	194	234	234	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	622													
80	195	235	235	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	623													
80	195	235	235	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	624							34						
80	195	236	236	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	625							34						
80	195	473/2	473/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	626							34						
80	195	237	237	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	627							34						
80	195	475/2	475/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	628							34						
81	196	239	239	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	629		articStaccatoAbove					35						
81	196	240	240	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	630		articStaccatoAbove											
81	196	238	238	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	631													
81	196	239	239	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	632													
81	196	240	240	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	633													
82	197	241	241	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	634							36						
82	197	242	242	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	635							37						
82	197	485/2	485/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	636							37						
82	197	243	243	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	637							37						
82	197	487/2	487/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	638							37						
82	197	241	241	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	639													
83	198	244	244	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	640							36						
83	198	244	244	0.3333333333333333	0	0	Chord	3/4	2	1	1/12		1/8	2/3	641							37						
83	198	733/3	733/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12		1/8	2/3	642							37						
83	198	734/3	734/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12		1/8	2/3	643							37						
83	198	245	245	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	644							37						
83	198	491/2	491/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	645							37						
83	198	246	246	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	646													
84	199	247	247	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	647													
84	199	247	247	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	648							38						
84	199	248	248	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	649							38						
84	199	497/2	497/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	650							38						
84	199	249	249	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	651							38						
84	199	499/2	499/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	652							38						
85	200	251	251	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	653		articStaccatoAbove					39						
85	200	252	252	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	654		articStaccatoAbove											
85	200	250	250	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	655													
85	200	251	251	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	656													
85	200	252	252	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	657													
86	201	253	253	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	658							40						
86	201	255	255	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	659							40						
86	201	766/3	766/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	660							40						
86	201	767/3	767/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	661							40						
86	201	253	253	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	662													
86	201	254	254	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	663													
86	201	255	255	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	664													
86	201	254	254	0.5	1/4	1/4	Chord	3/4	1	3	1/8		1/8	1	665													
86	201	509/2	509/2	0.5	3/8	3/8	Chord	3/4	1	3	1/8		1/8	1	666													
86	201	253	253	0.0	0	0	Spanner	3/4	2	1	0														26	26		
86	201	253	253	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	667										26	26		
86	201	255	255	0.0	1/2	1/2	Spanner	3/4	2	1	0																	
86	201	255	255	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	668													
87	202	256	256	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	669							40						
87	202	515/2	515/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	670							40						
87	202	258	258	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	671							40						
87	202	513/2	513/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	672													
87	202	257	257	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	673													
87	202	513/2	513/2	1.5	1/8	1/8	Chord	3/4	1	3	3/8		1/4	3/2	674													
87	202	257	257	1.0	1/4	1/4	Chord	3/4	1	4	1/4		1/4	1	675													
87	202	256	256	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	676													
87	202	258	258	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	677													
88	203	259	259	0.0	0	0	Dynamic	3/4	1	1	0					f												
88	203	259	259	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	678													
88	203	260	260	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	679							41						
88	203	521/2	521/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	680							41						
88	203	261	261	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	681							41						
88	203	784/3	784/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	682							41						
88	203	785/3	785/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	683							41						
88	203	260	260	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	684													
88	203	261	261	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	685													
88	203	521/2	521/2	1.5	3/8	3/8	Chord	3/4	1	3	3/8		1/4	3/2	686													
88	203	259	259	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	687													
88	203	261	261	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	688													
89	204	262	262	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	689							41						
89	204	527/2	527/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	690							41						
89	204	264	264	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	691		articAccentBelow					41						
89	204	262	262	0.5	0	0	Chord	3/4	1	2	1/8		1/8	1	692													
89	204	525/2	525/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	693													
89	204	263	263	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	694													
89	204	525/2	525/2	1.5	1/8	1/8	Chord	3/4	1	3	3/8		1/4	3/2	695													
89	204	263	263	1.0	1/4	1/4	Chord	3/4	1	4	1/4		1/4	1	696													
89	204	262	262	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	697													
89	204	264	264	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	698													
90	205	265	265	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	699													
90	205	266	266	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	700							42						
90	205	533/2	533/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	701							42						
90	205	267	267	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	702							42						
90	205	802/3	802/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	703							42						
90	205	803/3	803/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	704							42						
90	205	266	266	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	705													
90	205	533/2	533/2	1.5	3/8	3/8	Chord	3/4	1	3	3/8		1/4	3/2	706													
90	205	265	265	0.0	0	0	Spanner	3/4	2	1	0														27	27		
90	205	265	265	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	707										27	27		
90	205	267	267	0.0	1/2	1/2	Spanner	3/4	2	1	0																	
90	205	267	267	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	708													
91	206	268	268	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	709							42						
91	206	539/2	539/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	710							42						
91	206	270	270	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	711							42						
91	206	537/2	537/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	712													
91	206	269	269	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	713													
91	206	537/2	537/2	1.5	1/8	1/8	Chord	3/4	1	3	3/8		1/4	3/2	714													
91	206	269	269	1.0	1/4	1/4	Chord	3/4	1	4	1/4		1/4	1	715													
91	206	268	268	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	716													
91	206	270	270	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	717													
92	207	271	271	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	718													
92	207	272	272	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	719							43						
92	207	545/2	545/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	720							43						
92	207	273	273	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	721							43						
92	207	820/3	820/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	722							43						
92	207	821/3	821/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	723							43						
92	207	272	272	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	724													
92	207	273	273	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	725													
92	207	545/2	545/2	1.5	3/8	3/8	Chord	3/4	1	3	3/8		1/4	3/2	726													
92	207	271	271	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	727													
92	207	273	273	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	728													
93	208	274	274	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	729							43						
93	208	551/2	551/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	730							43						
93	208	276	276	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	731							43						
93	208	274	274	0.5	0	0	Chord	3/4	1	2	1/8		1/8	1	732													
93	208	549/2	549/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	733													
93	208	275	275	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	734													
93	208	549/2	549/2	1.5	1/8	1/8	Chord	3/4	1	3	3/8		1/4	3/2	735													
93	208	275	275	1.0	1/4	1/4	Chord	3/4	1	4	1/4		1/4	1	736													
93	208	274	274	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	737													
93	208	276	276	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	738		articAccentBelow											
94	209	277	277	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	739													
94	209	277	277	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	740													
94	209	278	278	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	741							44						
94	209	557/2	557/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	742							44						
94	209	279	279	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	743							44						
94	209	559/2	559/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	744							44						
94	209	277	277	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	745													
95	210	280	280	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	746							45						
95	210	280	280	0.3333333333333333	0	0	Chord	3/4	2	1	1/12		1/8	2/3	747							44						
95	210	841/3	841/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12		1/8	2/3	748							44						
95	210	842/3	842/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12		1/8	2/3	749							44						
95	210	281	281	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	750							44						
95	210	563/2	563/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	751							44						
95	210	282	282	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	752													
96	211	283	283	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	753													
96	211	283	283	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	754							46						
96	211	284	284	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	755							46						
96	211	569/2	569/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	756							46						
96	211	285	285	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	757							46						
96	211	571/2	571/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	758							46						
97	212	287	287	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	759		articStaccatoAbove					47						
97	212	288	288	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	760		articStaccatoAbove											
97	212	286	286	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	761							46						
97	212	287	287	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	762							46						
97	212	288	288	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	763													
98	213	289	289	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	764							48						
98	213	289	289	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	765													
98	213	290	290	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	766							49						
98	213	581/2	581/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	767							49						
98	213	291	291	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	768							49						
98	213	583/2	583/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	769							49						
99	214	292	292	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	770							48						
99	214	292	292	0.3333333333333333	0	0	Chord	3/4	2	1	1/12		1/8	2/3	771							49						
99	214	877/3	877/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12		1/8	2/3	772							49						
99	214	878/3	878/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12		1/8	2/3	773							49						
99	214	293	293	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	774							49						
99	214	587/2	587/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	775							49						
99	214	294	294	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	776													
100	215	295	295	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	777													
100	215	295	295	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	778							50						
100	215	296	296	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	779							50						
100	215	593/2	593/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	780							50						
100	215	297	297	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	781							50						
100	215	595/2	595/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	782							50						
101	216	299	299	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	783		articStaccatoAbove					51						
101	216	300	300	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	784		articStaccatoAbove											
101	216	298	298	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	785							50						
101	216	299	299	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	786							50						
101	216	300	300	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	787													
102	217	301	301	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	788							52						
102	217	303	303	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	789							52						
102	217	910/3	910/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	790							52						
102	217	911/3	911/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	791							52						
102	217	301	301	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	792													
102	217	302	302	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	793													
102	217	605/2	605/2	1.5	3/8	3/8	Chord	3/4	1	3	3/8		1/4	3/2	794													
102	217	302	302	0.5	1/4	1/4	Chord	3/4	1	4	1/8		1/8	1	795													
102	217	605/2	605/2	0.5	3/8	3/8	Chord	3/4	1	4	1/8		1/8	1	796													
102	217	301	301	0.0	0	0	Spanner	3/4	2	1	0														28	28		
102	217	301	301	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	797										28	28		
102	217	303	303	0.0	1/2	1/2	Spanner	3/4	2	1	0																	
102	217	303	303	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	798													
103	218	304	304	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	799							52						
103	218	611/2	611/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	800							52						
103	218	306	306	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	801							52						
103	218	609/2	609/2	1.5	1/8	1/8	Chord	3/4	1	2	3/8		1/4	3/2	802													
103	218	306	306	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	803													
