mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	crescendo_hairpin	crescendo_line	diminuendo_line	decrescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
74	72	429/2	429/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	502								30						
74	72	215	215	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	503								30						
74	72	216	216	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	504								30						
74	72	433/2	433/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	505								30						
74	72	215	215	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	506								36						
74	72	216	216	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	507														
75	73	217	217	0.0	0	0	Spanner	3/4	1	1	0												30				3		
75	73	217	217	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	508								30				3		
75	73	435/2	435/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	509								30				3		
75	73	218	218	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	510								30				3		
75	73	219	219	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	511								30				3		
75	73	439/2	439/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	512								30				3		
75	73	218	218	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	513								37						
75	73	219	219	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	514								37						
76	74	220	220	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	515								30				3		
76	74	441/2	441/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	516								30				3		
76	74	221	221	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	517								30				3		
76	74	443/2	443/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	518								30				3		
76	74	222	222	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	519								30				3		
76	74	445/2	445/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	520								30				3		
76	74	220	220	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	521								37						
76	74	221	221	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	522								37						
76	74	222	222	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	523								37						
77	75	223	223	0.0	0	0	Spanner	3/4	1	1	0												30						
77	75	223	223	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	524								30						
77	75	447/2	447/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	525								30						
77	75	224	224	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	526								30						
77	75	225	225	0.0	1/2	1/2	Spanner	3/4	1	1	0												30	7					
77	75	225	225	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	527								30	7					
77	75	223	223	0.0	0	0	Spanner	3/4	2	1	0												37					36	36
77	75	223	223	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	528								37					36	36
77	75	224	224	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	529													36	36
78	76	226	226	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	530								30	7					
78	76	455/2	455/2	0.0	3/8	3/8	Spanner	3/4	1	1	0												30						
78	76	455/2	455/2	0.0	3/8	3/8	Spanner	3/4	1	1	0												30				4		
78	76	455/2	455/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	531								30				4		
78	76	228	228	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	532								30				4		
78	76	457/2	457/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	533								30				4		
78	76	226	226	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	534													36	36
78	76	227	227	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	535													36	36
79	77	229	229	0.0	0	0	Spanner	3/4	1	1	0												30						
79	77	229	229	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	536								30						
79	77	459/2	459/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	537								30						
79	77	230	230	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	538								30						
79	77	231	231	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	539								30						
79	77	229	229	0.0	0	0	Spanner	3/4	2	1	0																		
79	77	229	229	0.0	0	0	Spanner	3/4	2	1	0																	37	37
79	77	229	229	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	540													37	37
79	77	230	230	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	541													37	37
79	77	231	231	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	542													37	37
80	78	232	232	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	543								30						
80	78	465/2	465/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	544								30						
80	78	233	233	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	545								30						
80	78	234	234	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	546								30						
80	78	232	232	0.0	0	0	Spanner	3/4	2	1	0																		
80	78	232	232	0.0	0	0	Spanner	3/4	2	1	0																	38	38
80	78	232	232	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	547													38	38
80	78	233	233	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	548													38	38
80	78	234	234	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	549													38	38
81	79	235	235	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	550								30						
81	79	471/2	471/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	551								30						
81	79	236	236	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	552								30						
81	79	237	237	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	553								30						
81	79	235	235	0.0	0	0	Spanner	3/4	2	1	0																		
81	79	235	235	0.0	0	0	Spanner	3/4	2	1	0																	39	39
81	79	235	235	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	554													39	39
81	79	236	236	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	555													39	39
81	79	237	237	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	556													39	39
82	80	238	238	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	557								30						
82	80	477/2	477/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	558								30						
82	80	239	239	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	559								30						
82	80	240	240	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	560								30						
82	80	238	238	0.0	0	0	Spanner	3/4	2	1	0																		
82	80	238	238	0.0	0	0	Spanner	3/4	2	1	0																	40	40
82	80	238	238	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	561													40	40
82	80	239	239	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	562													40	40
82	80	240	240	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	563													40	40
83	81	241	241	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	564								30						
83	81	483/2	483/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	565								30						
83	81	242	242	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	566								30						
83	81	243	243	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	567								30						
83	81	241	241	0.0	0	0	Spanner	3/4	2	1	0																		
83	81	241	241	0.0	0	0	Spanner	3/4	2	1	0																	41	41
83	81	241	241	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	568													41	41
83	81	242	242	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	569													41	41
83	81	243	243	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	570													41	41
84	82	244	244	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	571								30						
84	82	489/2	489/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	572								30						
84	82	245	245	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	573								30						
84	82	246	246	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	574								30						
84	82	244	244	0.0	0	0	Spanner	3/4	2	1	0																		
84	82	244	244	0.0	0	0	Spanner	3/4	2	1	0																	42	42
84	82	244	244	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	575													42	42
84	82	245	245	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	576													42	42
84	82	246	246	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	577													42	42
85	83	247	247	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	578								30						
85	83	495/2	495/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	579								30						
85	83	248	248	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	580								30						
85	83	249	249	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	581								30						
85	83	247	247	0.0	0	0	Spanner	3/4	2	1	0																		
85	83	247	247	0.0	0	0	Spanner	3/4	2	1	0																	43	43
85	83	247	247	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	582													43	43
85	83	248	248	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	583													43	43
85	83	249	249	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	584													43	43
86	84	250	250	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	585								30						
86	84	501/2	501/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	586								30						
86	84	251	251	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	587								30						
86	84	252	252	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	588								30						
86	84	250	250	0.0	0	0	Spanner	3/4	2	1	0																		
86	84	250	250	0.0	0	0	Spanner	3/4	2	1	0																	44	44
86	84	250	250	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	589													44	44
86	84	251	251	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	590													44	44
86	84	252	252	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	591													44	44
87	85	253	253	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	592								30						
87	85	507/2	507/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	593								30						
87	85	254	254	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	594								30						
87	85	255	255	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	595								30						
87	85	511/2	511/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	596								30						
87	85	253	253	0.0	0	0	Spanner	3/4	2	1	0																		
87	85	253	253	0.0	0	0	Spanner	3/4	2	1	0																	45	45
87	85	253	253	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	597													45	45
87	85	254	254	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	598													45	45
87	85	255	255	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	599													45	45
88	86	256	256	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	600								30						
88	86	513/2	513/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	601								30						
88	86	257	257	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	602								30						
88	86	258	258	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	603								30						
88	86	256	256	0.0	0	0	Spanner	3/4	2	1	0																		
88	86	256	256	0.0	0	0	Spanner	3/4	2	1	0																	46	46
88	86	256	256	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	604													46	46
88	86	257	257	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	605													46	46
88	86	258	258	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	606													46	46
89	87	259	259	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	607								30						
89	87	519/2	519/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	608								30						
89	87	260	260	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	609								30						
89	87	781/3	781/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	610								30						
89	87	782/3	782/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	611								30						
89	87	261	261	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	612								30						
89	87	523/2	523/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	613								30						
89	87	259	259	0.0	0	0	Spanner	3/4	2	1	0																		
89	87	259	259	0.0	0	0	Spanner	3/4	2	1	0																	47	47
89	87	259	259	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	614													47	47
89	87	260	260	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	615													47	47
89	87	261	261	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	616													47	47
90	88	262	262	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	617								30						
90	88	525/2	525/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	618								30						
90	88	263	263	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	619								30						
90	88	264	264	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	620								30						
90	88	262	262	0.0	0	0	Spanner	3/4	2	1	0																		
90	88	262	262	0.0	0	0	Spanner	3/4	2	1	0																	48	48
90	88	262	262	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	621													48	48
90	88	263	263	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	622													48	48
90	88	264	264	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	623													48	48
91	89	265	265	0.0	0	0	Dynamic	3/4	1	1	0						f						30						
91	89	265	265	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	624								30						
91	89	531/2	531/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	625								30						
91	89	266	266	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	626								30						
91	89	267	267	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	627								30						
91	89	265	265	0.0	0	0	Spanner	3/4	2	1	0																		
91	89	265	265	0.0	0	0	Spanner	3/4	2	1	0																	49	49
91	89	265	265	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	628													49	49
91	89	266	266	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	629													49	49
91	89	267	267	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	630													49	49
92	90	268	268	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	631								30						
92	90	537/2	537/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	632								30						
92	90	269	269	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	633								30						
92	90	270	270	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	634								30						
92	90	268	268	0.0	0	0	Spanner	3/4	2	1	0																		
92	90	268	268	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	635														
92	90	269	269	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	636														
92	90	270	270	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	637														
93	91	271	271	0.0	0	0	Spanner	3/4	1	1	0												30	8					
93	91	271	271	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	638								30	8					
93	91	543/2	543/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	639								30	8					
93	91	272	272	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	640								30	8					
93	91	547/2	547/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	641								30	8					
93	91	271	271	0.0	0	0	Spanner	3/4	2	1	0																	50	50
93	91	271	271	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	642													50	50
93	91	272	272	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	643													50	50
93	91	273	273	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	644													50	50
94	92	274	274	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	645								30	8					
94	92	1099/4	1099/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	646									8					
94	92	275	275	0.0	1/4	1/4	Spanner	3/4	1	1	0																		
94	92	275	275	0.0	1/4	1/4	Spanner	3/4	1	1	0																5		
94	92	275	275	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	647												5		
94	92	274	274	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	648													50	50
95	93	277	277	0.0	0	0	Dynamic	3/4	1	1	0						p												
95	93	277	277	0.0	0	0	Spanner	3/4	1	1	0																		
95	93	277	277	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	649								38						
95	93	278	278	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	650								38						
95	93	557/2	557/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	651								38						
95	93	279	279	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	652								38						
95	93	559/2	559/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	653								38						
95	93	277	277	0.0	0	0	Spanner	3/4	2	1	0																		
96	94	280	280	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	654								38						
96	94	561/2	561/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	655								38						
96	94	281	281	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	656								38						
96	94	565/2	565/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	657								38						
96	94	282	282	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	658														
96	94	282	282	0.0	1/2	1/2	Spanner	3/4	2	1	0																6		
96	94	282	282	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	659								39				6		
97	95	283	283	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	660								38						
97	95	283	283	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	661								39				6		
97	95	284	284	0.0	1/4	1/4	Spanner	3/4	2	1	0												39						
97	95	284	284	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	662								39						
97	95	569/2	569/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	663								39						
97	95	285	285	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	664								39						
97	95	571/2	571/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	665								39						
98	96	286	286	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	666								38						
98	96	286	286	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	667														
98	96	287	287	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	668														
98	96	286	286	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	669								39						
98	96	573/2	573/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	670								39						
98	96	287	287	1.5	1/4	1/4	Chord	3/4	2	1	3/8		1/4	3/2	671								39						
98	96	577/2	577/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	672								39						
98	96	288	288	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	673														
99	97	289	289	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	674														
99	97	290	290	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	675								40						
99	97	581/2	581/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	676								40						
99	97	291	291	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	677								40						
99	97	583/2	583/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	678								40						
99	97	289	289	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	679														
99	97	289	289	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	680														
100	98	292	292	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	681								40						
100	98	585/2	585/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	682								40						
100	98	293	293	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	683								40						
100	98	589/2	589/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	684								40						
100	98	294	294	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	685														
100	98	294	294	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	686			articAccentAbove					41						
101	99	295	295	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	687								40						
101	99	295	295	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	688								41						
101	99	296	296	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	689								41						
101	99	593/2	593/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	690								41						
101	99	297	297	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	691								41						
101	99	595/2	595/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	692								41						
102	100	298	298	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	693								40						
102	100	298	298	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	694														
102	100	299	299	0.0	1/4	1/4	Spanner	3/4	1	2	0													9					
102	100	299	299	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	695									9					
102	100	298	298	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	696								41						
102	100	597/2	597/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	697								41						
102	100	299	299	1.5	1/4	1/4	Chord	3/4	2	1	3/8		1/4	3/2	698								41						
102	100	601/2	601/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	699								41						
102	100	300	300	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	700														
103	101	301	301	0.0	0	0	Spanner	3/4	1	1	0												40	10					
103	101	301	301	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	701								40	10					
103	101	603/2	603/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	702								40	10					
103	101	302	302	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	703								40	10					
103	101	605/2	605/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	704								40	10					
103	101	303	303	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	705								40	10					
103	101	607/2	607/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	706								40	10					
103	101	301	301	0.0	0	0	Spanner	3/4	1	2	0													10					
103	101	301	301	0.0	0	0	Spanner	3/4	2	1	0																	51	51
103	101	301	301	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	707			articStaccatoAbove										51	51
104	102	304	304	0.0	0	0	Spanner	3/4	1	1	0												40						
104	102	304	304	0.0	0	0	Spanner	3/4	1	1	0												40				7		
104	102	304	304	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	708								40				7		
104	102	913/3	913/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	709								40				7		
104	102	914/3	914/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	710								40				7		
104	102	305	305	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	711								40				7		
104	102	611/2	611/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	712								40				7		
104	102	306	306	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	713								40				7		
104	102	613/2	613/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	714								40				7		
104	102	305	305	0.0	1/4	1/4	Spanner	3/4	2	1	0																		
104	102	305	305	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	715								42						
104	102	306	306	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	716								42						
105	103	307	307	0.0	0	0	Spanner	3/4	1	1	0												40						
105	103	307	307	0.0	0	0	Spanner	3/4	1	1	0												40	11					
105	103	307	307	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	717								40	11					
105	103	615/2	615/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	718								40	11					
105	103	308	308	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	719								40	11					
105	103	617/2	617/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	720								40	11					
105	103	309	309	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	721								40	11					
105	103	619/2	619/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	722								40	11					
105	103	307	307	0.0	0	0	Spanner	3/4	2	1	0																	52	52
105	103	307	307	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	723													52	52
105	103	308	308	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	724													52	52
105	103	309	309	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	725													52	52
106	104	310	310	0.0	0	0	Spanner	3/4	1	1	0												40						
106	104	310	310	0.0	0	0	Spanner	3/4	1	1	0												40				8		
106	104	310	310	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	726								40				8		
106	104	931/3	931/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	727								40				8		
106	104	932/3	932/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	728								40				8		
106	104	311	311	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	729								40				8		
106	104	623/2	623/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	730								40				8		
106	104	312	312	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	731								40				8		
106	104	625/2	625/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	732												8		
106	104	311	311	0.0	1/4	1/4	Spanner	3/4	2	1	0																		
106	104	311	311	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	733								43						
106	104	312	312	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	734								43						
107	105	313	313	0.0	0	0	Spanner	3/4	1	1	0																		
107	105	313	313	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	735								44						
107	105	627/2	627/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	736								44						
107	105	314	314	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	737								44						
107	105	631/2	631/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	738								44						
107	105	313	313	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	739														
107	105	314	314	0.0	1/4	1/4	Spanner	3/4	2	1	0																	53	53
107	105	314	314	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	740			articStaccatoBelow										53	53
107	105	315	315	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	741								45					53	53
108	106	316	316	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	742								44						
108	106	633/2	633/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	743								44						
108	106	317	317	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	744								44						
108	106	637/2	637/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	745								44						
