mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_line	crescendo_hairpin	diminuendo_line	decrescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
63	59	176	178	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	507															
63	59	177	179	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	508															
64	60	178	180	0.3333333333333333		0	0	Chord	3/4	1	1	1/12		1/8	2/3	509		articStaccatoAbove							87		3				
64	60	535/3	541/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	510		articStaccatoAbove							87		3				
64	60	536/3	542/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	511		articStaccatoAbove							87		3				
64	60	179	181	0.0		1/4	1/4	Spanner	3/4	1	1	0																			
64	60	179	181	2.0		1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	512		articAccentAbove													
64	60	178	180	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	513		articAccentAbove													
64	60	179	181	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	514															
64	60	180	182	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	515															
65	61	181	183	0.0		0	0	Spanner	3/4	1	1	0															4				
65	61	181	183	0.3333333333333333		0	0	Chord	3/4	1	1	1/12		1/8	2/3	516		articStaccatoBelow							88		4				
65	61	544/3	550/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	517		articStaccatoBelow							88		4				
65	61	545/3	551/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	518		articStaccatoBelow							88		4				
65	61	182	184	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	519		articStaccatoAbove							88		4				
65	61	183	185	0.3333333333333333		1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	520		articStaccatoAbove							88		4				
65	61	550/3	556/3	0.3333333333333333		7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	521		articStaccatoAbove							88		4				
65	61	551/3	557/3	0.3333333333333333		2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	522		articStaccatoAbove							88		4				
65	61	181	183	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	523															
65	61	182	184	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	524															
65	61	183	185	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	525															
66	62	184	186	0.3333333333333333		0	0	Chord	3/4	1	1	1/12		1/8	2/3	526		articStaccatoAbove							88		4				
66	62	553/3	559/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	527		articStaccatoAbove							88		4				
66	62	554/3	560/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	528		articStaccatoAbove							88		4				
66	62	185	187	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	529		articStaccatoAbove							88		4				
66	62	186	188	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	530		articStaccatoAbove									4				
66	62	184	186	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	531															
66	62	185	187	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	532															
66	62	186	188	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	533															
67	63	187	189	0.0		0	0	Spanner	3/4	1	1	0																			
67	63	187	189	0.0		0	0	Spanner	3/4	1	1	0															5				
67	63	187	189	0.3333333333333333		0	0	Chord	3/4	1	1	1/12		1/8	2/3	534		articStaccatoBelow							89		5				
67	63	562/3	568/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	535		articStaccatoBelow							89		5				
67	63	563/3	569/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	536		articStaccatoBelow							89		5				
67	63	188	190	0.75		1/4	1/4	Chord	3/4	1	1	3/16		1/8	3/2	537		articStaccatoAbove							89		5				
67	63	755/4	763/4	0.25		7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	538		articStaccatoAbove							89		5				
67	63	189	191	0.3333333333333333		1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	539		articStaccatoAbove							89		5				
67	63	568/3	574/3	0.3333333333333333		7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	540		articStaccatoAbove							89		5				
67	63	569/3	575/3	0.3333333333333333		2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	541		articStaccatoAbove							89		5				
67	63	187	189	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	542															
67	63	188	190	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	543															
67	63	189	191	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	544															
68	64	190	192	0.3333333333333333		0	0	Chord	3/4	1	1	1/12		1/8	2/3	545		articStaccatoAbove							89		5				
68	64	571/3	577/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	546		articStaccatoAbove							89		5				
68	64	572/3	578/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	547		articStaccatoAbove							89		5				
68	64	191	193	0.0		1/4	1/4	Spanner	3/4	1	1	0																			
68	64	191	193	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	548		articAccentAbove													
68	64	192	194	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	549		articAccentAbove							90						
68	64	190	192	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	550		articAccentAbove													
68	64	191	193	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	551															
69	65	193	195	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	552									90						
69	65	775/4	783/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	553									90						
69	65	194	196	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	554									90						
69	65	391/2	395/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	555									90						
69	65	194	196	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	556															
69	65	195	197	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	557															
70	66	196	198	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	558		articStaccatoBelow													
70	66	787/4	795/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	559									91						
70	66	197	199	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	560															
70	66	198	200	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	561		articAccentBelow													
70	66	196	198	0.0		0	0	Spanner	3/4	2	1	0																		17	17
70	66	196	198	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	562		articStaccatoBelow												17	17
70	66	197	199	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	563									92					17	17
70	66	198	200	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	564									92					17	17
71	67	199	201	0.0		0	0	Spanner	3/4	1	1	0														2					
71	67	199	201	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	565									93	2					
71	67	799/4	807/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	566									93	2					
71	67	200	202	0.0		1/4	1/4	Spanner	3/4	1	1	0													93						
71	67	200	202	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	567									93						
71	67	403/2	407/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	568									93						
71	67	199	201	0.0		0	0	Spanner	3/4	2	1	0													92						
71	67	199	201	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	569									92						
71	67	200	202	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	570									92						
71	67	201	203	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	571									92						
72	68	202	204	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	572		articStaccatoBelow													
72	68	811/4	819/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	573															
72	68	203	205	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	574		articStaccatoBelow													
72	68	204	206	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	575		articAccentAbove													
72	68	202	204	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	576		articStaccatoBelow													
72	68	203	205	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	577															
72	68	204	206	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	578															
73	69	205	207	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	579									94						
73	69	823/4	831/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	580									94						
73	69	206	208	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	581									94						
73	69	415/2	419/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	582									94						
73	69	206	208	0.0		1/4	1/4	Spanner	3/4	2	1	0																	4		
73	69	206	208	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	583									95				4		
73	69	207	209	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	584									95				4		
74	70	208	210	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	585									94						
74	70	417/2	421/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	586									94						
74	70	209	211	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	587									94						
74	70	210	212	0.0		1/2	1/2	Spanner	3/4	1	1	0													94			1			
74	70	210	212	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	588									94			1			
74	70	208	210	0.0		0	0	Spanner	3/4	2	1	0																			
74	70	208	210	0.0		0	0	Spanner	3/4	2	1	0																		18	18
74	70	208	210	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	589		articStaccatoBelow												18	18
74	70	209	211	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	590														18	18
74	70	210	212	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	591														18	18
75	71	211	213	0.0		0	0	Spanner	3/4	1	1	0													94						
75	71	211	213	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	592									94						
75	71	423/2	427/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	593									94						
75	71	212	214	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	594									94						
75	71	425/2	429/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	595									94						
75	71	213	215	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	596									94						
75	71	427/2	431/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	597									94						
75	71	211	213	0.0		0	0	Spanner	3/4	2	1	0																			
75	71	211	213	0.0		0	0	Spanner	3/4	2	1	0																		19	19
75	71	211	213	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	598		articStaccatoBelow												19	19
75	71	212	214	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	599														19	19
75	71	213	215	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	600														19	19
76	72	214	216	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	601									94						
76	72	429/2	433/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	602									94						
76	72	215	217	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	603									94						
76	72	431/2	435/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	604									94						
76	72	216	218	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	605									94						
76	72	433/2	437/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	606									94						
76	72	214	216	0.0		0	0	Spanner	3/4	2	1	0																			
76	72	214	216	0.0		0	0	Spanner	3/4	2	1	0																		20	20
76	72	214	216	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	607		articStaccatoBelow												20	20
76	72	215	217	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	608														20	20
76	72	216	218	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	609														20	20
77	73	217	219	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	610									94						
77	73	435/2	439/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	611									94						
77	73	218	220	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	612															
77	73	439/2	443/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	613															
77	73	217	219	0.0		0	0	Spanner	3/4	2	1	0																			
77	73	218	220	0.0		1/4	1/4	Spanner	3/4	2	1	0																		21	21
77	73	218	220	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	614														21	21
77	73	219	221	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	615														21	21
78	74	220	222	0.0		0	0	Dynamic	3/4	1	1	0					p														
78	74	220	222	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	616															
78	74	883/4	891/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	617									96						
78	74	221	223	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	618															
78	74	222	224	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	619		articAccentBelow													
78	74	220	222	0.0		0	0	Spanner	3/4	2	1	0																			
78	74	220	222	0.0		0	0	Spanner	3/4	2	1	0																		22	22
78	74	220	222	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	620		articStaccatoBelow												22	22
78	74	221	223	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	621									97					22	22
78	74	222	224	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	622									97					22	22
79	75	223	225	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	623									98						
79	75	895/4	903/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	624									98						
79	75	224	226	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	625									98						
79	75	451/2	455/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	626									98						
79	75	223	225	0.0		0	0	Spanner	3/4	2	1	0													97						
79	75	223	225	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	627									97						
79	75	224	226	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	628									97						
79	75	225	227	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	629									97						
80	76	226	228	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	630															
80	76	907/4	915/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	631									99						
80	76	227	229	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	632															
80	76	228	230	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	633		articAccentAbove													
80	76	226	228	0.0		0	0	Spanner	3/4	2	1	0																		23	23
80	76	226	228	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	634		articStaccatoBelow												23	23
80	76	227	229	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	635									100					23	23
80	76	228	230	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	636														23	23
81	77	229	231	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	637									101						
81	77	919/4	927/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	638									101						
81	77	230	232	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	639									101						
81	77	463/2	467/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	640									101						
81	77	229	231	0.0		0	0	Spanner	3/4	2	1	0																			
81	77	230	232	0.0		1/4	1/4	Spanner	3/4	2	1	0																	5		
81	77	230	232	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	641									102				5		
81	77	231	233	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	642									102				5		
82	78	232	234	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	643									101						
82	78	465/2	469/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	644									101						
82	78	233	235	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	645									101						
82	78	469/2	473/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	646									101						
82	78	232	234	0.0		0	0	Spanner	3/4	2	1	0																			
82	78	232	234	0.0		0	0	Spanner	3/4	2	1	0																		24	24
82	78	232	234	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	647														24	24
82	78	233	235	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	648														24	24
82	78	234	236	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	649														24	24
83	79	235	237	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	650									101						
83	79	471/2	475/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	651									101						
83	79	236	238	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	652									101						
83	79	475/2	479/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	653									101						
83	79	235	237	0.0		0	0	Spanner	3/4	2	1	0																			
83	79	235	237	0.0		0	0	Spanner	3/4	2	1	0																		25	25
83	79	236	238	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	654														25	25
83	79	237	239	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	655														25	25
84	80		240	0.5	1	0	0	Chord	3/4	1	1	1/8		1/8	1	656															
84	80		963/4	0.25	1	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	657									103						
84	80		241	1.0	1	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	658															
84	80		240	0.0	1	0	0	Spanner	3/4	2	1	0																			
84	80		240	0.0	1	0	0	Spanner	3/4	2	1	0																		26	26
84	80		240	1.0	1	0	0	Chord	3/4	2	1	1/4		1/4	1	659														26	26
84	80		241	1.0	1	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	660														26	26
85	80	238	242	0.5	2	0	0	Chord	3/4	1	1	1/8		1/8	1	661															
85	80	955/4	971/4	0.25	2	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	662									104						
85	80	239	243	2.0	2	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	663															
85	80	238	242	0.0	2	0	0	Spanner	3/4	2	1	0																			
85	80	238	242	0.0	2	0	0	Spanner	3/4	2	1	0																		27	27
85	80	238	242	1.0	2	0	0	Chord	3/4	2	1	1/4		1/4	1	664														27	27
85	80	239	243	1.0	2	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	665														27	27
85	80	240	244	0.0	2	1/2	1/2	Spanner	3/4	2	1	0																			
85	80	240	244	1.0	2	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	666		articStaccatoAbove							105						
86	81	241	245	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	667									106						
86	81	967/4	983/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	668									106						
86	81	242	246	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	669									106						
86	81	485/2	493/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	670									106						
86	81	243	247	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	671															
86	81	242	246	2.0		1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	672															
86	81	241	245	1.0		0	0	Chord	3/4	2	2	1/4		1/4	1	673		articAccentBelow							107						
86	81	242	246	1.0		1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	674									107						
86	81	243	247	1.0		1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	675															
