mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
65	63	188	191	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	455									78				
65	63	189	192	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	456		articAccentBelow							78				
65	63	379/2	385/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	457									78				
65	63	187	190	0.0		0	0	Spanner	3/4	2	1	0																	
65	63	187	190	0.0		0	0	Spanner	3/4	2	1	0																42	42
65	63	187	190	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	458												42	42
65	63	188	191	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	459												42	42
65	63	189	192	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	460												42	42
66	64	190	193	0.0		0	0	Dynamic	3/4	1	1	0					pp								78				
66	64	190	193	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	461									78				
66	64	191	194	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	462													
66	64	190	193	0.0		0	0	Spanner	3/4	2	1	0																	
66	64	190	193	0.0		0	0	Spanner	3/4	2	1	0																43	43
66	64	190	193	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	463									79			43	43
66	64	191	194	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	464												43	43
66	64	193	196	0.0		3/4	3/4	Spanner	3/4	2	1	0																	
