mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	crescendo_line	decrescendo_hairpin	crescendo_hairpin	Ottava:8va
58	58	171	171	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	495													
58	58	172	172	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	496													
58	58	171	171	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	497							28						
58	58	343/2	343/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	498							28						
58	58	172	172	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	499							28						
58	58	345/2	345/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	500							28						
58	58	173	173	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	501							28						
58	58	347/2	347/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	502													
59	59	174	174	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	503							27						
59	59	349/2	349/2	0.0	1/8	1/8	Spanner	3/4	1	1	0											27					8	
59	59	349/2	349/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	504							27					8	
59	59	175	175	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	505												8	
59	59	175	175	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	506												8	
59	59	703/4	703/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	507							29					8	
59	59	176	176	0.0	1/2	1/2	Spanner	3/4	1	1	0											29						
59	59	176	176	0.0	1/2	1/2	Spanner	3/4	1	1	0											29				5		
59	59	176	176	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	508							29				5		
59	59	353/2	353/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	509							29				5		
59	59	174	174	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	510											5		
59	59	174	174	0.0	0	0	Spanner	3/4	2	1	0												32	32				
59	59	174	174	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	511		articStaccatoBelow						32	32				
59	59	175	175	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	512								32	32				
59	59	176	176	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	513								32	32				
60	60	177	177	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	514							29				5		
60	60	355/2	355/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	515							29				5		
60	60	178	178	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	516							29				5		
60	60	535/3	535/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	517							29				5		
60	60	536/3	536/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	518							29				5		
60	60	179	179	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	519							29				5		
60	60	538/3	538/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	520							29				5		
60	60	539/3	539/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	521											5		
60	60	177	177	0.0	0	0	Spanner	3/4	2	1	0																	
60	60	177	177	0.0	0	0	Spanner	3/4	2	1	0												33	33				
60	60	177	177	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	522								33	33				
60	60	178	178	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	523								33	33				
60	60	179	179	0.0	1/2	1/2	Spanner	3/4	2	1	0																	
61	61	180	180	0.0	0	0	Spanner	3/4	1	1	0																	
61	61	180	180	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	524							30						
61	61	723/4	723/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	525							30						
61	61	181	181	0.0	1/4	1/4	Spanner	3/4	1	1	0											30					9	
61	61	181	181	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	526							30					9	
61	61	365/2	365/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	527							30					9	
61	61	180	180	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	528												9	
61	61	181	181	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	529												9	
61	61	180	180	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	530							31						
61	61	361/2	361/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	531							31						
61	61	181	181	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	532							31						
61	61	363/2	363/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	533							31						
61	61	182	182	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	534							31						
61	61	365/2	365/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	535							31						
61	61	180	180	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	536													
62	62	183	183	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	537							30					9	
62	62	735/4	735/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	538							30					9	
62	62	184	184	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	539							30					9	
62	62	371/2	371/2	0.0	5/8	5/8	Spanner	3/4	1	1	0											30						
62	62	371/2	371/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	540							30						
62	62	183	183	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	541													
62	62	184	184	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	542													
62	62	183	183	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	543							31						
62	62	367/2	367/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	544							31						
62	62	184	184	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	545							31						
62	62	369/2	369/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	546							31						
62	62	185	185	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	547							31						
62	62	371/2	371/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	548							31						
63	63	186	186	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	549							30						
63	63	373/2	373/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	550							30						
63	63	187	187	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	551													
63	63	187	187	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	552													
63	63	751/4	751/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	553							32						
63	63	188	188	0.0	1/2	1/2	Spanner	3/4	1	1	0											32				6		
63	63	188	188	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	554							32				6		
63	63	377/2	377/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	555							32				6		
63	63	186	186	0.0	0	0	Spanner	3/4	2	1	0												34	34				
63	63	186	186	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	556								34	34				
63	63	187	187	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	557								34	34				
63	63	188	188	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	558								34	34				
64	64	189	189	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	559							32				6		
64	64	379/2	379/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	560							32				6		
64	64	190	190	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	561							32				6		
64	64	571/3	571/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	562							32				6		
64	64	572/3	572/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	563							32				6		
64	64	191	191	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	564							32				6		
64	64	574/3	574/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	565							32				6		
64	64	575/3	575/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	566											6		
64	64	189	189	0.0	0	0	Spanner	3/4	2	1	0																	
64	64	189	189	0.0	0	0	Spanner	3/4	2	1	0												35	35				
64	64	189	189	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	567								35	35				
64	64	190	190	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	568								35	35				
64	64	191	191	0.0	1/2	1/2	Spanner	3/4	2	1	0																	
65	65	192	192	0.0	0	0	Spanner	3/4	1	1	0																	
65	65	192	192	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	569							33						
65	65	771/4	771/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	570							33						
65	65	193	193	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	571							33						
65	65	389/2	389/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	572							33						
65	65	192	192	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	573													
65	65	193	193	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	574													
65	65	192	192	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	575							34						
65	65	385/2	385/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	576							34						
65	65	193	193	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	577							34						
65	65	387/2	387/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	578							34						
65	65	194	194	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	579							34						
65	65	389/2	389/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	580							34						
65	65	192	192	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	581													
66	66	195	195	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	582							33						
66	66	783/4	783/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	583							33						
66	66	196	196	0.0	1/4	1/4	Spanner	3/4	1	1	0											33					10	
66	66	196	196	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	584							33					10	
66	66	395/2	395/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	585							33					10	
66	66	195	195	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	586												10	
66	66	196	196	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	587												10	
66	66	195	195	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	588							34						
66	66	391/2	391/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	589							34						
66	66	196	196	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	590							34						
66	66	393/2	393/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	591							34						
66	66	197	197	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	592							34						
66	66	395/2	395/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	593							34						
67	67	198	198	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	594							33					10	
67	67	397/2	397/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	595							33					10	
67	67	199	199	0.0	1/4	1/4	Spanner	3/4	1	1	0																	
67	67	199	199	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	596													
67	67	199	199	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	597													
67	67	799/4	799/4	0.0	7/16	7/16	Spanner	3/4	1	1	0															7		
67	67	799/4	799/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	598							35				7		
67	67	200	200	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	599							35				7		
67	67	401/2	401/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	600							35				7		
67	67	198	198	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	601											7		
67	67	198	198	0.0	0	0	Spanner	3/4	2	1	0												36	36				
67	67	198	198	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	602		articStaccatoBelow						36	36				
67	67	199	199	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	603								36	36				
67	67	200	200	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	604								36	36				
68	68	201	201	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	605							35				7		
68	68	403/2	403/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	606							35				7		
68	68	202	202	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	607							35				7		
68	68	809/4	809/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	608							35				7		
68	68	405/2	405/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	609							35				7		
68	68	811/4	811/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	610							35				7		
68	68	203	203	0.2	1/2	1/2	Chord	3/4	1	1	1/20		1/16	4/5	611							35				7		
68	68	1016/5	1016/5	0.2	11/20	11/20	Chord	3/4	1	1	1/20		1/16	4/5	612							35				7		
68	68	1017/5	1017/5	0.2	3/5	3/5	Chord	3/4	1	1	1/20		1/16	4/5	613							35				7		
68	68	1018/5	1018/5	0.2	13/20	13/20	Chord	3/4	1	1	1/20		1/16	4/5	614							35				7		
68	68	1019/5	1019/5	0.2	7/10	7/10	Chord	3/4	1	1	1/20		1/16	4/5	615							35				7		
68	68	201	201	0.0	0	0	Spanner	3/4	2	1	0																	
68	68	201	201	0.0	0	0	Spanner	3/4	2	1	0												37	37				
68	68	201	201	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	616								37	37				
68	68	202	202	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	617								37	37				
68	68	203	203	0.0	1/2	1/2	Spanner	3/4	2	1	0																	
69	69	204	204	0.0	0	0	Spanner	3/4	1	1	0											35						
69	69	204	204	0.0	0	0	Spanner	3/4	1	1	0											35					11	
69	69	204	204	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	618							35					11	
69	69	819/4	819/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	619							35					11	
69	69	205	205	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	620							35					11	
69	69	413/2	413/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	621							35					11	
69	69	204	204	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	622												11	
69	69	205	205	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	623												11	
69	69	204	204	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	624							36						
69	69	409/2	409/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	625							36						
69	69	205	205	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	626							36						
69	69	411/2	411/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	627							36						
69	69	206	206	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	628							36						
69	69	413/2	413/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	629							36						
69	69	204	204	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	630													
70	70	207	207	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	631							35					11	
70	70	831/4	831/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	632							35					11	
70	70	208	208	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	633							35					11	
70	70	209	209	0.0	1/2	1/2	Spanner	3/4	1	1	0											35			1		11	
70	70	209	209	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	634							35			1		11	
70	70	207	207	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	635										1		11	
70	70	208	208	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	636										1		11	
70	70	207	207	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	637							36						
70	70	415/2	415/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	638							36						
70	70	208	208	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	639							36						
70	70	417/2	417/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	640							36						
70	70	209	209	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	641							36						
70	70	419/2	419/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	642													
71	71	210	210	0.0	0	0	Spanner	3/4	1	1	0																	
71	71	210	210	0.0	0	0	Spanner	3/4	1	1	0																	
71	71	210	210	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	643													
71	71	843/4	843/4	0.0	3/16	3/16	Spanner	3/4	1	1	0															8		
71	71	843/4	843/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	644											8		
71	71	211	211	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	645							37				8		
71	71	425/2	425/2	0.0	5/8	5/8	Spanner	3/4	1	1	0											37						
71	71	425/2	425/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	646							37						
71	71	211	211	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	647													
71	71	212	212	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	648													
71	71	210	210	0.0	0	0	Spanner	3/4	2	1	0												38	38				
71	71	210	210	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	649								38	38				
71	71	211	211	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	650								38	38				
71	71	212	212	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	651							38	38	38				
72	72	213	213	0.0	0	0	Spanner	3/4	1	1	0																12	
72	72	213	213	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	652												12	
72	72	855/4	855/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	653							39					12	
72	72	214	214	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	654							39					12	
72	72	215	215	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	655							39					12	
72	72	213	213	0.0	0	0	Spanner	3/4	2	1	0											38						
72	72	213	213	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	656							38						
72	72	427/2	427/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	657							38						
72	72	214	214	0.3333333333333333	1/4	1/4	Chord	3/4	2	1	1/12		1/8	2/3	658							38						
72	72	643/3	643/3	0.3333333333333333	1/3	1/3	Chord	3/4	2	1	1/12		1/8	2/3	659							38						
72	72	644/3	644/3	0.3333333333333333	5/12	5/12	Chord	3/4	2	1	1/12		1/8	2/3	660							38						
72	72	215	215	0.3333333333333333	1/2	1/2	Chord	3/4	2	1	1/12		1/8	2/3	661							38						
72	72	646/3	646/3	0.3333333333333333	7/12	7/12	Chord	3/4	2	1	1/12		1/8	2/3	662							38						
72	72	647/3	647/3	0.3333333333333333	2/3	2/3	Chord	3/4	2	1	1/12		1/8	2/3	663							38						
73	73	216	216	0.0	0	0	Spanner	3/4	1	1	0																	
73	73	216	216	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	664													
73	73	867/4	867/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	665							40						
73	73	217	217	0.0	1/4	1/4	Spanner	3/4	1	1	0											40				9		
73	73	217	217	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	666							40				9		
73	73	437/2	437/2	0.0	5/8	5/8	Spanner	3/4	1	1	0											40						
73	73	437/2	437/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	667							40						
73	73	217	217	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	668													
73	73	218	218	0.0	1/2	1/2	Spanner	3/4	1	2	0																13	
73	73	218	218	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	669												13	
73	73	216	216	0.0	0	0	Spanner	3/4	2	1	0												39	39				
73	73	216	216	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	670		articStaccatoBelow						39	39				
73	73	217	217	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	671								39	39				
73	73	218	218	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	672								39	39				
74	74	219	219	0.0	0	0	Dynamic	3/4	1	1	0					f												
74	74	219	219	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	673													
74	74	879/4	879/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	674							41						
74	74	220	220	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	675							41						
74	74	221	221	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	676							41						
74	74	219	219	0.0	0	0	Spanner	3/4	1	2	0																	
74	74	219	219	0.0	0	0	Spanner	3/4	2	1	0																	
74	74	219	219	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	677							42						
74	74	439/2	439/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	678							42						
74	74	220	220	0.3333333333333333	1/4	1/4	Chord	3/4	2	1	1/12		1/8	2/3	679							42						
74	74	661/3	661/3	0.3333333333333333	1/3	1/3	Chord	3/4	2	1	1/12		1/8	2/3	680							42						
74	74	662/3	662/3	0.3333333333333333	5/12	5/12	Chord	3/4	2	1	1/12		1/8	2/3	681							42						
74	74	221	221	0.3333333333333333	1/2	1/2	Chord	3/4	2	1	1/12		1/8	2/3	682							42						
74	74	664/3	664/3	0.3333333333333333	7/12	7/12	Chord	3/4	2	1	1/12		1/8	2/3	683							42						
74	74	665/3	665/3	0.3333333333333333	2/3	2/3	Chord	3/4	2	1	1/12		1/8	2/3	684													
75	75	222	222	0.0	0	0	Dynamic	3/4	1	1	0					f												
75	75	222	222	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	685													
75	75	891/4	891/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	686							43						
75	75	223	223	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	687							43						
75	75	224	224	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	688													
75	75	222	222	0.0	0	0	Spanner	3/4	2	1	0												40	40				
75	75	222	222	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	689		articStaccatoBelow						40	40				
75	75	223	223	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	690		articStaccatoAbove						40	40				
76	76	225	225	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	691		articStaccatoAbove											
76	76	451/2	451/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	692							44						
76	76	226	226	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	693							44						
76	76	453/2	453/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	694							44						
76	76	227	227	0.0	1/2	1/2	Spanner	3/4	1	1	0																	0
76	76	227	227	0.0	1/2	1/2	Chord	3/4	1	1	0	acciaccatura	1/8	1	695													0
76	76	227	227	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	696													0
76	76	225	225	0.0	0	0	Spanner	3/4	2	1	0																	
76	76	225	225	0.0	0	0	Spanner	3/4	2	1	0												41	41				
76	76	225	225	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	697		articStaccatoBelow						41	41				
76	76	226	226	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	698								41	41				
77	77	228	228	0.0	0	0	Dynamic	3/4	1	1	0					p												
77	77	228	228	0.0	0	0	Spanner	3/4	1	1	0																	
77	77	228	228	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	699							45						
77	77	457/2	457/2	0.0	1/8	1/8	Spanner	3/4	1	1	0											45					14	
77	77	457/2	457/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	700							45					14	
77	77	229	229	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	701							45					14	
77	77	459/2	459/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	702							45					14	
77	77	230	230	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	703							45					14	
77	77	461/2	461/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	704							45					14	
77	77	228	228	0.0	0	0	Spanner	3/4	2	1	0																	
78	78	231	231	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	705							45					14	
78	78	463/2	463/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	706							45					14	
78	78	232	232	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	707							45					14	
78	78	465/2	465/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	708							45					14	
78	78	233	233	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	709							45					14	
78	78	467/2	467/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	710												14	
79	79	234	234	0.0	0	0	Spanner	3/4	1	1	0																	
79	79	234	234	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	711							46						
79	79	469/2	469/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	712							46						
79	79	235	235	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	713							46						
79	79	236	236	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	714							46						
79	79	235	235	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	715													
79	79	236	236	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	716													
80	80	237	237	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	717							46						
80	80	475/2	475/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	718							46						
80	80	238	238	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	719													
80	80	238	238	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	720													
80	80	239	239	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	721													
81	81	240	240	0.0	0	0	Spanner	3/4	1	1	0																15	
81	81	240	240	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	722							47					15	
81	81	481/2	481/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	723							47					15	
81	81	241	241	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	724							47					15	
81	81	242	242	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	725							47					15	
81	81	241	241	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	726													
81	81	242	242	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	727													
82	82	243	243	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	728							47					15	
82	82	487/2	487/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	729							47					15	
82	82	244	244	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	730												15	
82	82	243	243	0.0	0	0	Spanner	3/4	2	1	0												42	42				
82	82	243	243	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	731								42	42				
82	82	244	244	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	732								42	42				
82	82	245	245	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	733								42	42				
83	83	246	246	0.0	0	0	Spanner	3/4	1	1	0																	
83	83	246	246	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	734							48						
