mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
54	53	157	160	0.0		1/4	1/4	Spanner	3/4	2	1	0															61	61
54	53	157	160	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	450											61	61
54	53	158	161	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	451											61	61
55	54	159	162	0.0		0	0	Spanner	3/4	1	1	0												53	7			
55	54	159	162	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	452								53	7			
55	54	319/2	325/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	453								53	7			
55	54	160	163	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	454								53	7			
55	54	321/2	327/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	455								53	7			
55	54	161	164	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	456								53	7			
55	54	323/2	329/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	457									7			
55	54	159	162	0.0		0	0	Spanner	3/4	2	1	0																
55	54	159	162	0.0		0	0	Spanner	3/4	2	1	0															62	62
55	54	159	162	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	458											62	62
55	54	160	163	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	459											62	62
56	55	162	165	0.0		0	0	Spanner	3/4	1	1	0																
56	55	162	165	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	460												
56	55	325/2	331/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	461												
56	55	163	166	0.0		1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	462												
56	55	163	166	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	463		articAccentAbove										
56	55	164	167	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	464								54				
56	55	329/2	335/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	465												
56	55	162	165	0.0		0	0	Spanner	3/4	2	1	0																
56	55	162	165	0.0		0	0	Spanner	3/4	2	1	0															63	63
56	55	162	165	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	466											63	63
56	55	163	166	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	467		articAccentAbove									63	63
56	55	164	167	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	468											63	63
57	56	165	168	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	469												
57	56	331/2	337/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	470												
57	56	166	169	0.0		1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	471												
57	56	166	169	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	472		articAccentAbove										
57	56	167	170	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	473												
57	56	165	168	0.0		0	0	Spanner	3/4	2	1	0																
57	56	165	168	0.0		0	0	Spanner	3/4	2	1	0															64	64
57	56	165	168	2.0		0	0	Chord	3/4	2	1	1/2		1/2	1	474											64	64
57	56	166	169	1.0		1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	475		articAccentBelow						55			64	64
57	56	167	170	1.0		1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	476											64	64
58	57	168	171	0.0		0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	477												
58	57	168	171	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	478												
58	57	337/2	343/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	479												
58	57	169	172	0.0		1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	480												
58	57	169	172	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	481												
58	57	170	173	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	482								56				
58	57	341/2	347/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	483								56				
58	57	168	171	0.0		0	0	Spanner	3/4	2	1	0																
58	57	168	171	0.0		0	0	Spanner	3/4	2	1	0															65	65
58	57	168	171	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	484											65	65
58	57	169	172	0.0		1/4	1/4	Spanner	3/4	2	1	0																
58	57	169	172	0.0		1/4	1/4	Spanner	3/4	2	1	0															66	66
58	57	169	172	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	485											66	66
58	57	170	173	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	486											66	66
59	58	171	174	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	487								56				
59	58	343/2	349/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	488								56				
59	58	172	175	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	489								56				
59	58	345/2	351/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	490								56				
59	58	173	176	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	491								56				
59	58	347/2	353/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	492												
59	58	171	174	0.0		0	0	Spanner	3/4	2	1	0																
59	58	171	174	0.0		0	0	Spanner	3/4	2	1	0															67	67
59	58	171	174	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	493											67	67
59	58	172	175	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	494											67	67
60	59	174	177	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	495								57				
60	59	699/4	711/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	496		ornamentTrill						57				
60	59	175	178	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	497								57				
60	59	351/2	357/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	498								57				
60	59	176	179	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	499								57				
60	59	353/2	359/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	500												
60	59	174	177	0.0		0	0	Spanner	3/4	2	1	0																
60	59	174	177	0.0		0	0	Spanner	3/4	2	1	0															68	68
60	59	174	177	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	501											68	68
60	59	175	178	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	502											68	68
60	59	176	179	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	503											68	68
61	60	177	180	0.3333333333333333		0	0	Chord	3/4	1	1	1/12		1/8	2/3	504								58				
61	60	532/3	541/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	505								58				
61	60	533/3	542/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	506												
61	60	178	181	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	507												
61	60	177	180	0.5		0	0	Chord	3/4	1	2	1/8		1/8	1	508												
61	60	355/2	361/2	0.5		1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	509												
61	60	179	182	0.5		1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	510								59				
61	60	359/2	365/2	0.5		5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	511												
61	60	177	180	0.0		0	0	Spanner	3/4	2	1	0																
61	60	177	180	0.0		0	0	Spanner	3/4	2	1	0															69	69
61	60	177	180	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	512											69	69
61	60	178	181	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	513											69	69
62	61	180	183	0.0		0	0	Dynamic	3/4	1	1	0					f											
62	61	180	183	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	514												
62	61	723/4	735/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	515												
62	61	181	184	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	516												
62	61	182	185	0.0		1/2	1/2	Dynamic	3/4	1	1	0					fz											
62	61	182	185	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	517												
62	61	180	183	0.0		0	0	Spanner	3/4	2	1	0																
62	61	180	183	0.0		0	0	Spanner	3/4	2	1	0															70	70
62	61	180	183	0.75		0	0	Chord	3/4	2	1	3/16		1/8	3/2	518											70	70
62	61	723/4	735/4	0.25		3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	519											70	70
62	61	181	184	0.0		1/4	1/4	Spanner	3/4	2	1	0																
62	61	181	184	0.0		1/4	1/4	Spanner	3/4	2	1	0															71	71
62	61	181	184	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	520											71	71
62	61	182	185	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	521											71	71
63	62	183	186	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	522												
63	62	735/4	747/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	523												
63	62	184	187	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	524												
63	62	185	188	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	525												
63	62	371/2	377/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	526												
63	62	185	188	0.0		1/2	1/2	Dynamic	3/4	1	2	0					fz											
63	62	185	188	1.0		1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	527												
63	62	183	186	0.0		0	0	Spanner	3/4	2	1	0																
63	62	183	186	0.0		0	0	Spanner	3/4	2	1	0															72	72
63	62	183	186	0.75		0	0	Chord	3/4	2	1	3/16		1/8	3/2	528											72	72
63	62	735/4	747/4	0.25		3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	529											72	72
63	62	184	187	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	530											72	72
63	62	185	188	0.0		1/2	1/2	Spanner	3/4	2	1	0																
63	62	185	188	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	531												
64	63	186	189	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	532												
64	63	747/4	759/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	533												
64	63	187	190	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	534												
64	63	188	191	0.0		1/2	1/2	Dynamic	3/4	1	1	0					fz											
64	63	188	191	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	535												
64	63	186	189	0.0		0	0	Spanner	3/4	2	1	0															73	73
64	63	186	189	0.75		0	0	Chord	3/4	2	1	3/16		1/8	3/2	536											73	73
64	63	747/4	759/4	0.25		3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	537											73	73
64	63	187	190	0.0		1/4	1/4	Spanner	3/4	2	1	0																
64	63	187	190	0.0		1/4	1/4	Spanner	3/4	2	1	0															74	74
64	63	187	190	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	538											74	74
64	63	188	191	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	539											74	74
65	64	189	192	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	540												
65	64	759/4	771/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	541												
65	64	190	193	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	542												
65	64	191	194	0.0		1/2	1/2	Chord	3/4	1	1	0	acciaccatura	1/8	1	543												
65	64	191	194	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	544												
65	64	383/2	389/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	545												
65	64	191	194	1.0		1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	546												
65	64	189	192	0.0		0	0	Spanner	3/4	2	1	0																
65	64	189	192	0.0		0	0	Spanner	3/4	2	1	0															75	75
65	64	189	192	0.75		0	0	Chord	3/4	2	1	3/16		1/8	3/2	547											75	75
65	64	759/4	771/4	0.25		3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	548											75	75
65	64	190	193	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	549											75	75
65	64	191	194	0.0		1/2	1/2	Spanner	3/4	2	1	0																
65	64	191	194	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	550												
66	65	192	195	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	551												
66	65	385/2	391/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	552												
66	65	193	196	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	553												
66	65	194	197	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	554								60				
66	65	389/2	395/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	555								60				
66	65	192	195	1.0		0	0	Chord	3/4	1	2	1/4		1/4	1	556												
66	65	192	195	0.0		0	0	Spanner	3/4	2	1	0															76	76
66	65	192	195	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	557											76	76
66	65	193	196	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	558		articAccentAbove									76	76
66	65	194	197	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	559											76	76
67	66	195	198	0.0		0	0	Spanner	3/4	1	1	0												60	8			
67	66	195	198	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	560								60	8			
67	66	391/2	397/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	561								60	8			
67	66	196	199	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	562								60	8			
67	66	393/2	399/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	563								60	8			
67	66	197	200	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	564								60	8			
67	66	395/2	401/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	565									8			
67	66	195	198	0.0		0	0	Spanner	3/4	2	1	0																
67	66	195	198	0.0		0	0	Spanner	3/4	2	1	0															77	77
67	66	195	198	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	566											77	77
67	66	196	199	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	567											77	77
68	67	198	201	0.0		0	0	Spanner	3/4	1	1	0																
68	67	198	201	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	568												
68	67	397/2	403/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	569												
68	67	199	202	0.0		1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	570												
68	67	199	202	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	571		articAccentAbove										
68	67	200	203	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	572								61				
68	67	401/2	407/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	573												
68	67	198	201	0.0		0	0	Spanner	3/4	2	1	0																
68	67	198	201	0.0		0	0	Spanner	3/4	2	1	0															78	78
68	67	198	201	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	574											78	78
68	67	199	202	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	575		articAccentAbove									78	78
68	67	200	203	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	576											78	78
69	68	201	204	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	577												
69	68	403/2	409/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	578												
69	68	202	205	0.0		1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	579												
69	68	202	205	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	580		articAccentAbove										
69	68	203	206	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	581												
69	68	201	204	0.0		0	0	Spanner	3/4	2	1	0																
69	68	201	204	0.0		0	0	Spanner	3/4	2	1	0															79	79
69	68	201	204	2.0		0	0	Chord	3/4	2	1	1/2		1/2	1	582											79	79
69	68	202	205	1.0		1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	583		articAccentBelow						62			79	79
69	68	203	206	1.0		1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	584											79	79
70	69	204	207	0.0		0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	585												
70	69	204	207	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	586												
70	69	409/2	415/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	587												
70	69	205	208	0.0		1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	588												
70	69	205	208	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	589												
70	69	206	209	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	590								63				
70	69	413/2	419/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	591								63				
70	69	204	207	0.0		0	0	Spanner	3/4	2	1	0																
70	69	204	207	0.0		0	0	Spanner	3/4	2	1	0															80	80
70	69	204	207	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	592											80	80
70	69	205	208	0.0		1/4	1/4	Spanner	3/4	2	1	0																
70	69	205	208	0.0		1/4	1/4	Spanner	3/4	2	1	0															81	81
70	69	205	208	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	593											81	81
70	69	206	209	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	594											81	81
71	70	207	210	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	595								63				
71	70	415/2	421/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	596								63				
71	70	208	211	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	597								63				
71	70	417/2	423/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	598								63				
71	70	209	212	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	599								63				
71	70	419/2	425/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	600												
71	70	207	210	0.0		0	0	Spanner	3/4	2	1	0																
71	70	207	210	0.0		0	0	Spanner	3/4	2	1	0															82	82
71	70	207	210	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	601											82	82
71	70	208	211	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	602											82	82
72	71	210	213	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	603								64				
72	71	843/4	855/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	604		ornamentTrill						64				
72	71	211	214	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	605								64				
72	71	423/2	429/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	606								64				
72	71	212	215	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	607								64				
72	71	425/2	431/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	608												
72	71	210	213	0.0		0	0	Spanner	3/4	2	1	0																
72	71	210	213	0.0		0	0	Spanner	3/4	2	1	0															83	83
72	71	210	213	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	609											83	83
72	71	211	214	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	610											83	83
72	71	212	215	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	611											83	83
73	72	213	216	0.3333333333333333		0	0	Chord	3/4	1	1	1/12		1/8	2/3	612								65				
73	72	640/3	649/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	613								65				
73	72	641/3	650/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	614												
73	72	214	217	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	615												
73	72	213	216	0.5		0	0	Chord	3/4	1	2	1/8		1/8	1	616												
73	72	427/2	433/2	0.5		1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	617												
73	72	213	216	0.0		0	0	Spanner	3/4	2	1	0																
73	72	213	216	0.0		0	0	Spanner	3/4	2	1	0															84	84
73	72	213	216	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	618											84	84
73	72	214	217	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	619											84	84
73	72	216	219	0.0		3/4	3/4	Spanner	3/4	2	1	0																
