mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	diminuendo_line	crescendo_hairpin
62	61	181	181	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	526											
62	61	183	183	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	527											
63	62	184	184	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	528							35				
63	62	739/4	739/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	529							35				
63	62	185	185	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	530							35				
63	62	371/2	371/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	531							35				
63	62	186	186	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	532							35				
63	62	184	184	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	533											
63	62	186	186	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	534											
63	62	184	184	0.0	0	0	Spanner	3/4	2	1	0												35	35		
63	62	184	184	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	535								35	35		
63	62	186	186	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	536								35	35		
64	63	187	187	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	537							35				
64	63	375/2	375/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	538							35				
64	63	188	188	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	539							35				
64	63	379/2	379/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	540							35				
64	63	187	187	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	541											
64	63	189	189	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	542											
64	63	187	187	0.0	0	0	Spanner	3/4	2	1	0															
64	63	187	187	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	543											
64	63	189	189	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	544											
65	64	190	190	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	545							35				
65	64	381/2	381/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	546							35				
65	64	191	191	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	547							35				
65	64	191	191	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	548							35				
65	64	383/2	383/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	549							35				
65	64	192	192	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	550											
65	64	190	190	0.5	0	0	Chord	3/4	1	2	1/8		1/8	1	551											
65	64	381/2	381/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	552											
65	64	191	191	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	553											
65	64	383/2	383/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	554											
65	64	192	192	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	555											
65	64	190	190	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	556											
66	65	193	193	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	557							36				
66	65	195	195	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	558							36				
66	65	193	193	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	559											
66	65	194	194	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	560											
66	65	193	193	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	561											
66	65	194	194	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	562											
66	65	193	193	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	563											
66	65	195	195	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	564											
67	66	196	196	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	565							36				
67	66	787/4	787/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	566							36				
67	66	197	197	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	567							36				
67	66	395/2	395/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	568							36				
67	66	198	198	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	569							36				
67	66	196	196	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	570											
67	66	198	198	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	571											
67	66	196	196	0.0	0	0	Spanner	3/4	2	1	0												36	36		
67	66	196	196	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	572								36	36		
67	66	198	198	0.0	1/2	1/2	Spanner	3/4	2	1	0															
67	66	198	198	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	573											
68	67	199	199	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	574							36				
68	67	399/2	399/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	575							36				
68	67	200	200	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	576							36				
68	67	403/2	403/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	577							36				
68	67	199	199	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	578											
68	67	200	200	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	579											
68	67	201	201	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	580											
68	67	199	199	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	581											
68	67	201	201	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	582							37				
68	67	201	201	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	583											
69	68	202	202	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	584							36				
69	68	405/2	405/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	585							36				
69	68	203	203	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	586											
69	68	202	202	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	587											
69	68	202	202	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	588							37				
69	68	202	202	0.75	0	0	Chord	3/4	2	2	3/16		1/8	3/2	589											
69	68	811/4	811/4	0.25	3/16	3/16	Chord	3/4	2	2	1/16		1/16	1	590											
69	68	203	203	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	591											
69	68	204	204	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	592											
69	68	409/2	409/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	593											
70	69	205	205	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	594							38				
70	69	207	207	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	595							38				
70	69	205	205	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	596											
70	69	206	206	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	597											
70	69	205	205	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	598											
70	69	206	206	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	599											
70	69	205	205	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	600											
70	69	207	207	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	601											
71	70	208	208	0.0	0	0	Spanner	3/4	1	1	0											38			0	
71	70	208	208	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	602							38			0	
71	70	835/4	835/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	603							38			0	
71	70	209	209	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	604							38			0	
71	70	419/2	419/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	605							38			0	
71	70	210	210	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	606							38			0	
71	70	208	208	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	607										0	
71	70	210	210	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	608										0	
71	70	208	208	0.0	0	0	Spanner	3/4	2	1	0												37	37		
71	70	208	208	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	609								37	37		
71	70	210	210	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	610								37	37		
72	71	211	211	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	611							38			0	
72	71	423/2	423/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	612							38			0	
72	71	212	212	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	613							38			0	
72	71	427/2	427/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	614							38			0	
72	71	211	211	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	615										0	
72	71	213	213	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	616										0	
72	71	211	211	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	617								37	37		
72	71	213	213	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	618								37	37		
73	72	214	214	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	619							38			0	
73	72	429/2	429/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	620							38			0	
73	72	215	215	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	621							38			0	
73	72	215	215	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	622							38			0	
73	72	431/2	431/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	623							38			0	
73	72	216	216	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	624										0	
73	72	214	214	0.5	0	0	Chord	3/4	1	2	1/8		1/8	1	625										0	
73	72	429/2	429/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	626										0	
73	72	215	215	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	627										0	
73	72	431/2	431/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	628										0	
73	72	216	216	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	629										0	
73	72	214	214	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	630								37	37		
74	73	217	217	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	631							39			0	
74	73	219	219	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	632							39			0	
74	73	217	217	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	633										0	
74	73	218	218	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	634										0	
74	73	217	217	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	635								37	37		
74	73	218	218	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	636								37	37		
74	73	217	217	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	637								37	37		
74	73	219	219	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	638								37	37		
75	74	220	220	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	639							39			0	
75	74	883/4	883/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	640							39			0	
75	74	221	221	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	641							39			0	
75	74	443/2	443/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	642							39			0	
75	74	222	222	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	643										0	
75	74	223	223	0.0	3/4	3/4	Spanner	3/4	1	1	0															
75	74	220	220	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	644											
75	74	222	222	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	645											
75	74	220	220	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	646								37	37		
75	74	223	223	0.0	3/4	3/4	Spanner	3/4	2	1	0															
